c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 24102 2299.0810546875 0.0 39 1 19 192.168.43.1 53 2387.718994140625 0.0 55 1 19 - - 192.168.43.1@53_192.168.43.106@24102 2299.0810546875 2387.718994140625 "1970-01-01 00:00:02.299081055" "1970-01-01 00:00:02.299081055" "1970-01-01 00:00:02.387718994" "1970-01-01 00:00:02.387718994"  DNS 39.00B 55.00B
192.168.43.106 23970 2299.180908203125 0.0 39 1 0 192.168.43.1 53 2387.7197265625 0.0 96 1 0 - - 192.168.43.1@53_192.168.43.106@23970 2299.180908203125 2387.7197265625 "1970-01-01 00:00:02.299180908" "1970-01-01 00:00:02.299180908" "1970-01-01 00:00:02.387719727" "1970-01-01 00:00:02.387719727"  UNKNOWN 39.00B 96.00B
192.168.43.106 50507 2388.56103515625 0.202261 7175 14 27 216.58.204.238 443 2430.638916015625 0.200534 9385 13 27 play.google.com - 216.58.204.238@443_192.168.43.106@50507 2388.76318359375 2430.83935546875 "1970-01-01 00:00:02.388561035" "1970-01-01 00:00:02.388763184" "1970-01-01 00:00:02.430638916" "1970-01-01 00:00:02.430839355" play.google.com UDP_QUIC 7.01KB 9.17KB
192.168.43.106 35176 2392.630859375 0.323732 7662 15 27 142.251.209.3 443 2447.35205078125 0.333831 10070 15 27 update.googleapis.com - 142.251.209.3@443_192.168.43.106@35176 2392.95458984375 2447.685791015625 "1970-01-01 00:00:02.392630859" "1970-01-01 00:00:02.392954590" "1970-01-01 00:00:02.447352051" "1970-01-01 00:00:02.447685791" update.googleapis.com UDP_QUIC 7.48KB 9.83KB
192.168.43.106 34972 10195.583984375 0.0 53 1 19 192.168.43.1 53 10233.7109375 0.0 181 1 19 - - 192.168.43.1@53_192.168.43.106@34972 10195.583984375 10233.7109375 "1970-01-01 00:00:10.195583984" "1970-01-01 00:00:10.195583984" "1970-01-01 00:00:10.233710938" "1970-01-01 00:00:10.233710938"  DNS 53.00B 181.00B
192.168.43.106 5934 10195.6640625 0.0 53 1 0 192.168.43.1 53 10242.085693359375 0.0 110 1 0 - - 192.168.43.1@53_192.168.43.106@5934 10195.6640625 10242.085693359375 "1970-01-01 00:00:10.195664062" "1970-01-01 00:00:10.195664062" "1970-01-01 00:00:10.242085693" "1970-01-01 00:00:10.242085693"  UNKNOWN 53.00B 110.00B
192.168.43.106 48066 10242.6640625 0.358351 7082 16 27 142.251.209.42 443 10442.571044921875 0.409141 11879 15 27 optimizationguide-pa.googleapis.com optimizationguide-pa.googleapis.com 142.251.209.42@443_192.168.43.106@48066 10243.0224609375 10442.980224609375 "1970-01-01 00:00:10.242664062" "1970-01-01 00:00:10.243022461" "1970-01-01 00:00:10.442571045" "1970-01-01 00:00:10.442980225" pa.googleapis.com UDP_QUIC 6.92KB 11.60KB
192.168.43.106 54211 11033.2080078125 0.0 30 1 19 192.168.43.1 53 11078.965087890625 0.0 231 1 19 - - 192.168.43.1@53_192.168.43.106@54211 11033.2080078125 11078.965087890625 "1970-01-01 00:00:11.033208008" "1970-01-01 00:00:11.033208008" "1970-01-01 00:00:11.078965088" "1970-01-01 00:00:11.078965088"  DNS 30.00B 231.00B
192.168.43.106 56518 11033.304931640625 0.0 30 1 0 192.168.43.1 53 11122.694091796875 0.0 112 1 0 - - 192.168.43.1@53_192.168.43.106@56518 11033.304931640625 11122.694091796875 "1970-01-01 00:00:11.033304932" "1970-01-01 00:00:11.033304932" "1970-01-01 00:00:11.122694092" "1970-01-01 00:00:11.122694092"  UNKNOWN 30.00B 112.00B
192.168.43.106 10188 12088.64208984375 0.0 41 1 19 192.168.43.1 53 12093.678955078125 0.0 89 1 19 - - 192.168.43.1@53_192.168.43.106@10188 12088.64208984375 12093.678955078125 "1970-01-01 00:00:12.088642090" "1970-01-01 00:00:12.088642090" "1970-01-01 00:00:12.093678955" "1970-01-01 00:00:12.093678955"  DNS 41.00B 89.00B
192.168.43.106 50006 12088.755859375 0.0 41 1 0 192.168.43.1 53 12285.86767578125 0.0 122 1 0 - - 192.168.43.1@53_192.168.43.106@50006 12088.755859375 12285.86767578125 "1970-01-01 00:00:12.088755859" "1970-01-01 00:00:12.088755859" "1970-01-01 00:00:12.285867676" "1970-01-01 00:00:12.285867676"  UNKNOWN 41.00B 122.00B
192.168.43.106 32718 12687.40966796875 0.0 35 1 19 192.168.43.1 53 12901.177978515625 0.0 67 1 19 - - 192.168.43.1@53_192.168.43.106@32718 12687.40966796875 12901.177978515625 "1970-01-01 00:00:12.687409668" "1970-01-01 00:00:12.687409668" "1970-01-01 00:00:12.901177979" "1970-01-01 00:00:12.901177979"  DNS 35.00B 67.00B
192.168.43.106 13435 12687.4697265625 0.0 35 1 0 192.168.43.1 53 12901.1796875 0.0 105 1 0 - - 192.168.43.1@53_192.168.43.106@13435 12687.4697265625 12901.1796875 "1970-01-01 00:00:12.687469727" "1970-01-01 00:00:12.687469727" "1970-01-01 00:00:12.901179688" "1970-01-01 00:00:12.901179688"  UNKNOWN 35.00B 105.00B
192.168.43.106 10869 12688.2470703125 0.0 33 1 19 192.168.43.1 53 12901.177001953125 0.0 103 1 19 - - 192.168.43.1@53_192.168.43.106@10869 12688.2470703125 12901.177001953125 "1970-01-01 00:00:12.688247070" "1970-01-01 00:00:12.688247070" "1970-01-01 00:00:12.901177002" "1970-01-01 00:00:12.901177002"  DNS 33.00B 103.00B
192.168.43.106 6932 12688.301025390625 0.0 33 1 0 192.168.43.1 53 12901.180908203125 0.0 149 1 0 - - 192.168.43.1@53_192.168.43.106@6932 12688.301025390625 12901.180908203125 "1970-01-01 00:00:12.688301025" "1970-01-01 00:00:12.688301025" "1970-01-01 00:00:12.901180908" "1970-01-01 00:00:12.901180908"  UNKNOWN 33.00B 149.00B
192.168.43.106 58919 12697.781982421875 0.0 35 1 19 192.168.43.1 53 12901.182861328125 0.0 188 1 19 - - 192.168.43.1@53_192.168.43.106@58919 12697.781982421875 12901.182861328125 "1970-01-01 00:00:12.697781982" "1970-01-01 00:00:12.697781982" "1970-01-01 00:00:12.901182861" "1970-01-01 00:00:12.901182861"  DNS 35.00B 188.00B
192.168.43.106 38074 12697.85693359375 0.0 35 1 0 192.168.43.1 53 12901.18505859375 0.0 113 1 0 - - 192.168.43.1@53_192.168.43.106@38074 12697.85693359375 12901.18505859375 "1970-01-01 00:00:12.697856934" "1970-01-01 00:00:12.697856934" "1970-01-01 00:00:12.901185059" "1970-01-01 00:00:12.901185059"  UNKNOWN 35.00B 113.00B
192.168.43.106 2084 12903.570068359375 0.0 49 1 19 192.168.43.1 53 12990.86767578125 0.0 250 1 19 - - 192.168.43.1@53_192.168.43.106@2084 12903.570068359375 12990.86767578125 "1970-01-01 00:00:12.903570068" "1970-01-01 00:00:12.903570068" "1970-01-01 00:00:12.990867676" "1970-01-01 00:00:12.990867676"  DNS 49.00B 250.00B
192.168.43.106 8538 12903.666015625 0.0 49 1 0 192.168.43.1 53 12996.99609375 0.0 131 1 0 - - 192.168.43.1@53_192.168.43.106@8538 12903.666015625 12996.99609375 "1970-01-01 00:00:12.903666016" "1970-01-01 00:00:12.903666016" "1970-01-01 00:00:12.996996094" "1970-01-01 00:00:12.996996094"  UNKNOWN 49.00B 131.00B
192.168.43.106 40924 13006.098876953125 0.0 44 1 19 192.168.43.1 53 13012.6650390625 0.0 108 1 19 - - 192.168.43.1@53_192.168.43.106@40924 13006.098876953125 13012.6650390625 "1970-01-01 00:00:13.006098877" "1970-01-01 00:00:13.006098877" "1970-01-01 00:00:13.012665039" "1970-01-01 00:00:13.012665039"  DNS 44.00B 108.00B
