action unix_ts from_origin_ts
origin 1722494491539.353 0.0048828125
net-starts 1722494491539.8506 0.50244140625
app-starts 1722494491540.1997 0.8515625
eurosport1-starts 1722494521524.1516 29984.803466796875
eurosport1-stops 1722494711524.1855 219984.83740234375
eurosport2-starts 1722494731461.0435 239921.6953125
eurosport2-stops 1722494921461.076 429921.7277832031
app-stops 1722494934100.6582 442561.31005859375
net-stops 1722494964220.5479 472681.19970703125
