c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 23246 396.5712890625 0.0 47 1 19 192.168.84.198 53 467.6416015625 0.0 63 1 19 - - 192.168.84.198@53_192.168.84.55@23246 396.5712890625 467.6416015625 "1970-01-01 00:00:00.396571289" "1970-01-01 00:00:00.396571289" "1970-01-01 00:00:00.467641602" "1970-01-01 00:00:00.467641602"  DNS 47.00B 63.00B
192.168.84.55 59248 396.637451171875 0.0 47 1 0 192.168.84.198 53 471.320556640625 0.0 104 1 0 - - 192.168.84.198@53_192.168.84.55@59248 396.637451171875 471.320556640625 "1970-01-01 00:00:00.396637451" "1970-01-01 00:00:00.396637451" "1970-01-01 00:00:00.471320557" "1970-01-01 00:00:00.471320557"  UNKNOWN 47.00B 104.00B
192.168.84.55 24664 422.275634765625 0.0 37 1 19 192.168.84.198 53 557.069580078125 0.0 53 1 19 - - 192.168.84.198@53_192.168.84.55@24664 422.275634765625 557.069580078125 "1970-01-01 00:00:00.422275635" "1970-01-01 00:00:00.422275635" "1970-01-01 00:00:00.557069580" "1970-01-01 00:00:00.557069580"  DNS 37.00B 53.00B
192.168.84.55 2261 422.35546875 0.0 37 1 0 192.168.84.198 53 557.068603515625 0.0 87 1 0 - - 192.168.84.198@53_192.168.84.55@2261 422.35546875 557.068603515625 "1970-01-01 00:00:00.422355469" "1970-01-01 00:00:00.422355469" "1970-01-01 00:00:00.557068604" "1970-01-01 00:00:00.557068604"  UNKNOWN 37.00B 87.00B
192.168.84.55 38393 428.233642578125 3.001493 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.84.55@38393 431.235107421875 0.0 "1970-01-01 00:00:00.428233643" "1970-01-01 00:00:00.431235107" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.84.55 45393 445.437255859375 0.0 32 1 19 192.168.84.198 53 461.466552734375 0.0 48 1 19 - - 192.168.84.198@53_192.168.84.55@45393 445.437255859375 461.466552734375 "1970-01-01 00:00:00.445437256" "1970-01-01 00:00:00.445437256" "1970-01-01 00:00:00.461466553" "1970-01-01 00:00:00.461466553"  DNS 32.00B 48.00B
192.168.84.55 60488 445.5224609375 0.0 32 1 0 192.168.84.198 53 557.32568359375 0.0 57 1 0 - - 192.168.84.198@53_192.168.84.55@60488 445.5224609375 557.32568359375 "1970-01-01 00:00:00.445522460" "1970-01-01 00:00:00.445522460" "1970-01-01 00:00:00.557325684" "1970-01-01 00:00:00.557325684"  UNKNOWN 32.00B 57.00B
192.168.84.55 44395 468.130615234375 0.36051 5749 32 27 142.250.185.100 443 561.55859375 0.241067 49870 47 27 www.google.com www.google.com 142.250.185.100@443_192.168.84.55@44395 468.4912109375 561.799560546875 "1970-01-01 00:00:00.468130615" "1970-01-01 00:00:00.468491211" "1970-01-01 00:00:00.561558594" "1970-01-01 00:00:00.561799561" www.google.com UDP_QUIC 5.61KB 48.70KB
192.168.84.55 55234 557.824462890625 0.218859 4774 12 27 74.125.143.84 443 628.311279296875 0.250356 10939 14 27 accounts.google.com - 74.125.143.84@443_192.168.84.55@55234 558.043212890625 628.5615234375 "1970-01-01 00:00:00.557824463" "1970-01-01 00:00:00.558043213" "1970-01-01 00:00:00.628311279" "1970-01-01 00:00:00.628561523" accounts.google.com UDP_QUIC 4.66KB 10.68KB
192.168.84.55 55112 1880.614501953125 0.0 33 1 19 192.168.84.198 53 1945.7265625 0.0 49 1 19 - - 192.168.84.198@53_192.168.84.55@55112 1880.614501953125 1945.7265625 "1970-01-01 00:00:01.880614502" "1970-01-01 00:00:01.880614502" "1970-01-01 00:00:01.945726562" "1970-01-01 00:00:01.945726562"  DNS 33.00B 49.00B
