c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 56050 15 0 14 6 2349 7 0 0 0 1 1 172.217.16.195 443 17 0 17 8 7292 7 0 0 0 1 1 471.611572265625 2578.771484375 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@56050 "1970-01-01 00:00:00.471611572" "1970-01-01 00:00:02.578771484" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.29KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 47956 9 1 7 3 1894 3 0 0 0 1 1 142.250.185.100 443 8 0 8 4 6309 3 0 0 0 1 0 552.749267578125 2578.780517578125 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@47956 "1970-01-01 00:00:00.552749268" "1970-01-01 00:00:02.578780518" www.google.com HTTP/1.x-HTTP/2_null 1.85KB 6.16KB "0.01 kbits" "0.02 kbits"
192.168.84.55 37632 10 0 9 5 1821 3 0 0 0 1 1 142.250.186.110 443 9 0 9 4 8248 3 0 0 0 1 1 2084.544677734375 2578.78759765625 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@37632 "1970-01-01 00:00:02.084544678" "1970-01-01 00:00:02.578787598" play.google.com HTTP/1.x-HTTP/2_null 1.78KB 8.05KB "0.03 kbits" "0.13 kbits"
192.168.84.55 54362 12 1 10 2 4611 7 0 0 0 1 1 3.126.67.130 443 13 0 13 8 421 4 0 0 0 1 0 14745.440673828125 30488.068603515625 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@54362 "1970-01-01 00:00:14.745440674" "1970-01-01 00:00:30.488068604" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.50KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 54356 12 1 10 3 2744 6 0 0 0 1 1 3.126.67.130 443 11 0 11 6 421 4 0 0 0 1 0 13904.899658203125 30488.09130859375 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@54356 "1970-01-01 00:00:13.904899658" "1970-01-01 00:00:30.488091309" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.68KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 58570 15 1 13 5 4524 7 0 0 0 1 1 3.126.67.130 443 16 0 16 8 5850 7 0 0 0 1 0 12695.50927734375 30488.116455078125 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@58570 "1970-01-01 00:00:12.695509277" "1970-01-01 00:00:30.488116455" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.71KB "0.00 kbits" "0.00 kbits"
192.168.84.55 46718 9 0 8 4 1798 3 0 0 0 1 1 142.250.185.100 443 8 0 8 4 5350 2 0 0 0 1 1 20474.931640625 30762.22265625 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@46718 "1970-01-01 00:00:20.474931641" "1970-01-01 00:00:30.762222656" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 5.22KB "0.00 kbits" "0.00 kbits"
192.168.84.55 32884 9 0 8 4 1861 3 0 0 0 1 1 216.58.206.35 443 8 0 8 4 5355 2 0 0 0 1 1 20485.672607421875 30762.224609375 8192 www.google.it - 160 0 www.google.it - 216.58.206.35@443_192.168.84.55@32884 "1970-01-01 00:00:20.485672607" "1970-01-01 00:00:30.762224609" www.google.it HTTP/1.x-HTTP/2_null 1.82KB 5.23KB "0.00 kbits" "0.00 kbits"
192.168.84.55 44806 49 0 48 5 52321 42 0 0 0 1 1 162.247.243.29 443 38 0 38 31 4888 5 0 0 0 1 1 30280.4033203125 30942.882568359375 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@44806 "1970-01-01 00:00:30.280403320" "1970-01-01 00:00:30.942882568" data.net HTTP/1.x-HTTP/2_null 51.09KB 4.77KB "0.63 kbits" "0.06 kbits"
192.168.84.55 37794 12 0 11 7 1866 3 0 0 0 1 1 91.81.129.236 443 12 0 12 4 4024 6 0 0 0 1 1 33832.2373046875 39881.2724609375 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@37794 "1970-01-01 00:00:33.832237305" "1970-01-01 00:00:39.881272461" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 1.82KB 3.93KB "0.00 kbits" "0.01 kbits"
192.168.84.55 44822 17 0 16 7 5329 8 1 377 0 1 1 162.247.243.29 443 16 0 16 9 5070 5 0 0 0 1 1 30286.4384765625 50963.7216796875 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@44822 "1970-01-01 00:00:30.286438477" "1970-01-01 00:00:50.963721680" data.net HTTP/1.x-HTTP/2_null 5.20KB 4.95KB "0.00 kbits" "0.00 kbits"
192.168.84.55 45614 107 1 105 10 116502 94 1 309 0 1 1 162.247.243.29 443 97 0 97 85 7733 11 0 0 0 1 0 12720.5966796875 60905.629638671875 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@45614 "1970-01-01 00:00:12.720596680" "1970-01-01 00:01:00.905629639" data.net HTTP/1.x-HTTP/2_null 113.77KB 7.55KB "0.02 kbits" "0.00 kbits"
192.168.84.55 40932 11 0 10 6 1901 3 0 0 0 1 1 142.250.185.195 443 10 0 10 5 6725 3 0 0 0 1 1 2644.8974609375 63894.674560546875 8192 update.googleapis.com - 160 0 update.googleapis.com - 142.250.185.195@443_192.168.84.55@40932 "1970-01-01 00:00:02.644897461" "1970-01-01 00:01:03.894674561" update.googleapis.com HTTP/1.x-HTTP/2_null 1.86KB 6.57KB "0.00 kbits" "0.00 kbits"
192.168.84.55 60762 12 0 11 7 1883 3 0 0 0 1 1 216.58.206.42 443 11 0 11 5 6767 4 0 0 0 1 1 10459.91064453125 71896.7255859375 8192 optimizationguide-pa.googleapis.com - 160 0 optimizationguide-pa.googleapis.com - 216.58.206.42@443_192.168.84.55@60762 "1970-01-01 00:00:10.459910645" "1970-01-01 00:01:11.896725586" pa.googleapis.com HTTP/1.x-HTTP/2_null 1.84KB 6.61KB "0.00 kbits" "0.00 kbits"
192.168.84.55 52642 12 0 11 7 1818 3 0 0 0 1 1 108.157.188.37 443 11 0 11 4 6174 5 0 0 0 1 1 12754.9345703125 73915.1533203125 8192 cdn.dazn.com - 160 0 cdn.dazn.com - 108.157.188.37@443_192.168.84.55@52642 "1970-01-01 00:00:12.754934570" "1970-01-01 00:01:13.915153320" cdn.dazn.com HTTP/1.x-HTTP/2_null 1.78KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 60144 11 0 10 6 1869 3 0 0 0 1 1 108.157.188.5 443 11 0 11 5 6198 4 0 0 0 1 1 12675.71728515625 73915.17358398438 8192 resource-strings.acc.indazn.com - 160 0 resource-strings.acc.indazn.com - 108.157.188.5@443_192.168.84.55@60144 "1970-01-01 00:00:12.675717285" "1970-01-01 00:01:13.915173584" acc.indazn.com HTTP/1.x-HTTP/2_null 1.83KB 6.05KB "0.00 kbits" "0.00 kbits"
192.168.84.55 33586 12 0 11 7 1865 3 0 0 0 1 1 108.138.192.33 443 12 0 12 5 6250 5 0 0 0 1 1 12735.212646484375 73915.1826171875 8192 images.discovery.indazn.com - 160 0 images.discovery.indazn.com - 108.138.192.33@443_192.168.84.55@33586 "1970-01-01 00:00:12.735212646" "1970-01-01 00:01:13.915182617" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.82KB 6.10KB "0.00 kbits" "0.00 kbits"
192.168.84.55 59612 11 0 10 6 1865 3 0 0 0 1 1 13.226.175.41 443 11 0 11 5 6215 4 0 0 0 1 1 12701.240478515625 73915.19067382812 8192 search.discovery.indazn.com - 160 0 search.discovery.indazn.com - 13.226.175.41@443_192.168.84.55@59612 "1970-01-01 00:00:12.701240479" "1970-01-01 00:01:13.915190674" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.82KB 6.07KB "0.00 kbits" "0.00 kbits"
192.168.84.55 33088 11 0 10 6 1818 3 0 0 0 1 1 108.139.243.13 443 11 0 11 5 6223 4 0 0 0 1 1 12748.78564453125 73915.21655273438 8192 www.dazn.com - 160 0 www.dazn.com - 108.139.243.13@443_192.168.84.55@33088 "1970-01-01 00:00:12.748785645" "1970-01-01 00:01:13.915216553" www.dazn.com HTTP/1.x-HTTP/2_null 1.78KB 6.08KB "0.00 kbits" "0.00 kbits"
192.168.84.55 58004 11 0 10 6 1887 3 0 0 0 1 1 108.157.186.76 443 10 0 10 5 6175 3 0 0 0 1 1 12747.57763671875 73915.2265625 8192 static.dazndn.com - 160 0 static.dazndn.com - 108.157.186.76@443_192.168.84.55@58004 "1970-01-01 00:00:12.747577637" "1970-01-01 00:01:13.915226562" static.dazndn.com HTTP/1.x-HTTP/2_null 1.84KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 58330 13 0 12 8 1839 3 0 0 0 1 1 18.66.196.39 443 13 0 13 5 6215 6 0 0 0 1 1 12692.87451171875 73915.24462890625 8192 content-item.discovery.indazn.com - 160 0 content-item.discovery.indazn.com - 18.66.196.39@443_192.168.84.55@58330 "1970-01-01 00:00:12.692874512" "1970-01-01 00:01:13.915244629" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.80KB 6.07KB "0.00 kbits" "0.00 kbits"
192.168.84.55 44706 11 0 10 6 1899 3 0 0 0 1 1 18.66.218.41 443 11 0 11 5 6179 4 0 0 0 1 1 12692.73046875 73915.25366210938 8192 youth-protection.dazn-api.com - 160 0 youth-protection.dazn-api.com - 18.66.218.41@443_192.168.84.55@44706 "1970-01-01 00:00:12.692730469" "1970-01-01 00:01:13.915253662" protection.dazn-api.com HTTP/1.x-HTTP/2_null 1.85KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 58512 11 0 10 6 1823 3 0 0 0 1 1 104.19.178.52 443 10 0 10 5 3791 3 0 0 0 1 1 12675.599609375 73915.27368164062 8192 cdn.cookielaw.org - 160 0 cdn.cookielaw.org - 104.19.178.52@443_192.168.84.55@58512 "1970-01-01 00:00:12.675599609" "1970-01-01 00:01:13.915273682" cdn.cookielaw.org HTTP/1.x-HTTP/2_null 1.78KB 3.70KB "0.00 kbits" "0.00 kbits"
192.168.84.55 34732 33 1 31 8 14764 22 1 374 0 1 1 35.71.191.239 443 39 0 39 22 7745 16 0 0 0 1 0 37692.255615234375 76421.89526367188 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.84.55@34732 "1970-01-01 00:00:37.692255614" "1970-01-01 00:01:16.421895264" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 14.42KB 7.56KB "0.00 kbits" "0.00 kbits"
192.168.84.55 46746 11 0 10 6 1812 3 0 0 0 1 1 216.239.32.36 443 10 0 10 5 6966 3 0 0 0 1 1 20476.261474609375 80789.06762695312 8192 region1.analytics.google.com - 160 0 region1.analytics.google.com - 216.239.32.36@443_192.168.84.55@46746 "1970-01-01 00:00:20.476261475" "1970-01-01 00:01:20.789067627" analytics.google.com HTTP/1.x-HTTP/2_null 1.77KB 6.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 52668 11 0 10 6 1793 3 0 0 0 1 1 104.18.24.111 443 11 0 11 5 4002 4 1 528 0 1 1 21015.442626953125 81889.61767578125 8192 expansioneggnog.com - 160 0 expansioneggnog.com - 104.18.24.111@443_192.168.84.55@52668 "1970-01-01 00:00:21.015442627" "1970-01-01 00:01:21.889617676" expansioneggnog.com HTTP/1.x-HTTP/2_null 1.75KB 3.91KB "0.00 kbits" "0.00 kbits"
192.168.84.55 40882 11 0 10 6 1864 3 0 0 0 1 1 18.66.196.39 443 10 0 10 5 6258 3 0 0 0 1 1 20662.046630859375 81892.60961914062 8192 static.adsafeprotected.com - 160 0 static.adsafeprotected.com - 18.66.196.39@443_192.168.84.55@40882 "1970-01-01 00:00:20.662046631" "1970-01-01 00:01:21.892609619" static.adsafeprotected.com HTTP/1.x-HTTP/2_null 1.82KB 6.11KB "0.00 kbits" "0.00 kbits"
192.168.84.55 40640 11 0 10 6 1907 3 0 0 0 1 1 142.250.185.194 443 10 0 10 5 6595 3 0 0 0 1 1 20763.547607421875 81898.64453125 8192 googleads.g.doubleclick.net - 160 0 googleads.g.doubleclick.net - 142.250.185.194@443_192.168.84.55@40640 "1970-01-01 00:00:20.763547607" "1970-01-01 00:01:21.898644531" g.doubleclick.net HTTP/1.x-HTTP/2_null 1.86KB 6.44KB "0.00 kbits" "0.00 kbits"
192.168.84.55 50534 11 0 10 6 1881 3 0 0 0 1 1 142.250.185.110 443 10 0 10 5 8810 3 0 0 0 1 1 22799.157470703125 83897.61328125 8192 fundingchoicesmessages.google.com - 160 0 fundingchoicesmessages.google.com - 142.250.185.110@443_192.168.84.55@50534 "1970-01-01 00:00:22.799157471" "1970-01-01 00:01:23.897613281" fundingchoicesmessages.google.com HTTP/1.x-HTTP/2_null 1.84KB 8.60KB "0.00 kbits" "0.00 kbits"
192.168.84.55 38120 27 0 26 15 3223 10 0 0 0 1 1 52.59.96.26 443 51 0 51 12 75772 37 0 0 0 1 1 11519.4892578125 90637.728515625 8192 startup.core.indazn.com core.indazn.com 160 128 startup.core.indazn.com - 52.59.96.26@443_192.168.84.55@38120 "1970-01-01 00:00:11.519489258" "1970-01-01 00:01:30.637728516" core.indazn.com HTTP/1.x-HTTP/2_HTTP/2 3.15KB 74.00KB "0.00 kbits" "0.01 kbits"
192.168.84.55 60186 29 0 28 11 10059 16 1 106 0 1 1 3.122.65.191 443 34 0 34 15 17651 17 0 0 0 1 1 13088.877685546875 91475.86254882812 8192 segmentation-service-api.discovery.indazn.com discovery.indazn.com 160 128 segmentation-service-api.discovery.indazn.com - 3.122.65.191@443_192.168.84.55@60186 "1970-01-01 00:00:13.088877686" "1970-01-01 00:01:31.475862549" discovery.indazn.com HTTP/1.x-HTTP/2_HTTP/2 9.82KB 17.24KB "0.00 kbits" "0.00 kbits"
192.168.84.55 59276 24 0 23 8 4543 14 1 46 0 1 1 18.196.72.227 443 27 0 27 14 6545 11 0 0 0 1 1 13059.93359375 91488.06127929688 8192 partner-integration.ar.indazn.com partner-integration.ar.indazn.com 160 128 partner-integration.ar.indazn.com - 18.196.72.227@443_192.168.84.55@59276 "1970-01-01 00:00:13.059933594" "1970-01-01 00:01:31.488061279" ar.indazn.com HTTP/1.x-HTTP/2_HTTP/2 4.44KB 6.39KB "0.00 kbits" "0.00 kbits"
192.168.84.55 34252 40 1 38 14 8235 23 0 0 0 1 1 3.75.98.239 443 37 0 37 21 6721 15 0 0 0 1 0 13639.401611328125 94460.4755859375 8192 user-message.gateway.indazn.com - 160 0 user-message.gateway.indazn.com - 3.75.98.239@443_192.168.84.55@34252 "1970-01-01 00:00:13.639401611" "1970-01-01 00:01:34.460475586" gateway.indazn.com HTTP/1.x-HTTP/2_null 8.04KB 6.56KB "0.00 kbits" "0.00 kbits"
192.168.84.55 51134 20 0 19 7 7927 11 0 0 0 1 1 35.71.191.239 443 24 0 24 12 6300 10 0 0 0 1 1 76419.1416015625 96444.11450195312 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.84.55@51134 "1970-01-01 00:01:16.419141602" "1970-01-01 00:01:36.444114502" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 7.74KB 6.15KB "0.00 kbits" "0.00 kbits"
192.168.84.55 37770 524 1 523 498 19101 24 1 845 0 1 0 91.81.129.236 443 627 0 627 24 12097727 601 0 0 0 1 1 33043.212646484375 99825.349609375 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@37770 "1970-01-01 00:00:33.043212646" "1970-01-01 00:01:39.825349609" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 18.65KB 11.54MB "0.00 kbits" "1.45 kbits"
192.168.84.55 39032 14 0 13 6 4341 6 0 0 0 1 1 35.71.191.239 443 17 0 17 7 5941 8 0 0 0 1 1 96415.947265625 106704.49462890625 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.84.55@39032 "1970-01-01 00:01:36.415947266" "1970-01-01 00:01:46.704494629" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.24KB 5.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 39998 11 0 10 6 2137 3 0 0 0 1 1 91.81.129.236 443 10 0 10 4 571 4 1 24 0 1 1 102217.58544921875 107877.3095703125 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@39998 "1970-01-01 00:01:42.217585449" "1970-01-01 00:01:47.877309570" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.09KB 571.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 53650 13 0 12 5 4350 6 0 0 0 1 1 35.71.191.239 443 16 0 16 7 5940 7 0 0 0 1 1 121462.84765625 131846.46362304688 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.84.55@53650 "1970-01-01 00:02:01.462847656" "1970-01-01 00:02:11.846463623" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.25KB 5.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 50116 13 0 12 4 4215 7 0 0 0 1 1 35.71.191.239 443 15 0 15 7 701 6 0 0 0 1 1 140451.66650390625 150714.271484375 8192 italy.scorecardresearch.com - 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.84.55@50116 "1970-01-01 00:02:20.451666504" "1970-01-01 00:02:30.714271484" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.12KB 701.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 49580 15 1 13 5 4905 7 0 0 0 1 1 52.28.42.56 443 18 0 18 7 6751 10 1 77 0 1 0 152987.20556640625 163594.83447265625 8192 concurrency.playback.indazn.com playback.indazn.com 160 128 concurrency.playback.indazn.com - 52.28.42.56@443_192.168.84.55@49580 "1970-01-01 00:02:32.987205566" "1970-01-01 00:02:43.594834473" playback.indazn.com HTTP/1.x-HTTP/2_HTTP/2 4.79KB 6.59KB "0.00 kbits" "0.01 kbits"
192.168.84.55 54242 14 0 13 6 4380 6 0 0 0 1 1 52.223.29.147 443 17 0 17 7 5940 8 0 0 0 1 1 156339.20947265625 166698.73046875 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@54242 "1970-01-01 00:02:36.339209473" "1970-01-01 00:02:46.698730469" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.28KB 5.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 37802 1615 1 1614 1544 57992 69 1 845 0 1 0 91.81.129.236 443 1939 0 1939 69 38393711 1868 2 2800 0 1 1 33832.816650390625 173824.9892578125 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@37802 "1970-01-01 00:00:33.832816650" "1970-01-01 00:02:53.824989258" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 56.63KB 36.62MB "0.00 kbits" "2.19 kbits"
192.168.84.55 51012 14 0 13 6 4324 6 0 0 0 1 1 52.223.29.147 443 15 0 15 7 5940 6 0 0 0 1 1 200293.54760742188 210576.21655273438 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@51012 "1970-01-01 00:03:20.293547607" "1970-01-01 00:03:30.576216553" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.22KB 5.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 44800 80 1 78 16 68635 61 0 0 0 1 1 162.247.243.29 443 72 0 72 55 5681 16 0 0 0 1 0 30279.86328125 210939.79248046875 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@44800 "1970-01-01 00:00:30.279863281" "1970-01-01 00:03:30.939792480" data.net HTTP/1.x-HTTP/2_null 67.03KB 5.55KB "0.00 kbits" "0.00 kbits"
192.168.84.55 33848 26 1 24 12 4175 11 0 0 0 1 1 93.184.221.165 443 27 0 27 13 5929 13 1 545 0 1 0 20755.169677734375 219936.04858398438 8192 t.co - 160 0 t.co - 93.184.221.165@443_192.168.84.55@33848 "1970-01-01 00:00:20.755169678" "1970-01-01 00:03:39.936048584" t.co HTTP/1.x-HTTP/2_null 4.08KB 5.79KB "0.00 kbits" "0.00 kbits"
192.168.84.55 51720 11 0 10 6 2105 3 0 0 0 1 1 91.81.128.189 443 11 0 11 4 4022 5 0 0 0 1 1 218436.23852539062 223950.3525390625 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@51720 "1970-01-01 00:03:38.436238525" "1970-01-01 00:03:43.950352539" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.06KB 3.93KB "0.00 kbits" "0.01 kbits"
192.168.84.55 35746 17 0 16 7 6052 8 0 0 0 1 1 52.223.29.147 443 20 0 20 9 6300 9 0 0 0 1 1 216356.87768554688 229881.14965820312 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@35746 "1970-01-01 00:03:36.356877686" "1970-01-01 00:03:49.881149658" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 5.91KB 6.15KB "0.00 kbits" "0.00 kbits"
