c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 45614 162.247.243.29 443 23058.33544921875 208.412 13 0 13 1 15453 12 0 0 0 0 0 12 0 12 11 375 1 0 0 0 0 0 162.247.243.29@443_192.168.84.55@45614 23266.74744921875 "1970-01-01 00:00:23.058335449" "1970-01-01 00:00:23.266747449" 15.09KB 375.00B "0.59 kbits" "0.01 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 58570 3.126.67.130 443 12695.50927734375 409.499 12 0 11 5 4487 6 0 0 0 1 0 12 0 12 6 5786 5 0 0 0 1 0 3.126.67.130@443_192.168.84.55@58570 13105.00827734375 "1970-01-01 00:00:12.695509277" "1970-01-01 00:00:13.105008277" 4.38KB 5.65KB "0.09 kbits" "0.11 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 54362 3.126.67.130 443 14745.440673828125 223.259 9 0 8 2 4574 6 0 0 0 1 0 9 0 9 6 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@54362 14968.699673828125 "1970-01-01 00:00:14.745440674" "1970-01-01 00:00:14.968699674" 4.47KB 357.00B "0.16 kbits" "0.01 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 54356 3.126.67.130 443 13904.899658203125 476.299 9 0 8 3 2707 5 0 0 0 1 0 8 0 8 5 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@54356 14381.198658203124 "1970-01-01 00:00:13.904899658" "1970-01-01 00:00:14.381198658" 2.64KB 357.00B "0.05 kbits" "0.01 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 54362 3.126.67.130 443 30329.3505859375 158.718 3 1 2 0 37 1 0 0 0 0 1 4 0 4 2 64 2 0 0 0 0 0 3.126.67.130@443_192.168.84.55@54362 30488.0685859375 "1970-01-01 00:00:30.329350586" "1970-01-01 00:00:30.488068586" 37.00B 64.00B "0.00 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 54356 3.126.67.130 443 30329.53759765625 158.554 3 1 2 0 37 1 0 0 0 0 1 3 0 3 1 64 2 0 0 0 0 0 3.126.67.130@443_192.168.84.55@54356 30488.09159765625 "1970-01-01 00:00:30.329537598" "1970-01-01 00:00:30.488091598" 37.00B 64.00B "0.00 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 58570 3.126.67.130 443 30328.963623046875 159.153 3 1 2 0 37 1 0 0 0 0 1 4 0 4 2 64 2 0 0 0 0 0 3.126.67.130@443_192.168.84.55@58570 30488.116623046873 "1970-01-01 00:00:30.328963623" "1970-01-01 00:00:30.488116623" 37.00B 64.00B "0.00 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 38120 52.59.96.26 443 11519.4892578125 376.631 17 0 16 9 2854 7 0 0 0 1 0 24 0 24 7 40831 16 0 0 0 1 0 52.59.96.26@443_192.168.84.55@38120 11896.1202578125 "1970-01-01 00:00:11.519489258" "1970-01-01 00:00:11.896120258" 2.79KB 39.87KB "0.06 kbits" "0.87 kbits" core.indazn.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 46718 142.250.185.100 443 20474.931640625 240.713 7 0 6 3 1798 3 0 0 0 1 0 6 0 6 3 5350 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@46718 20715.644640625 "1970-01-01 00:00:20.474931641" "1970-01-01 00:00:20.715644641" 1.76KB 5.22KB "0.06 kbits" "0.18 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 32884 216.58.206.35 443 20485.672607421875 229.974 7 0 6 3 1861 3 0 0 0 1 0 6 0 6 3 5355 2 0 0 0 1 0 216.58.206.35@443_192.168.84.55@32884 20715.646607421873 "1970-01-01 00:00:20.485672607" "1970-01-01 00:00:20.715646607" 1.82KB 5.23KB "0.06 kbits" "0.19 kbits" www.google.it HTTP/1.x-HTTP/2_null
192.168.84.55 37506 108.157.188.19 443 13458.351318359375 310.854 3 0 3 0 177 3 0 0 0 0 0 5 0 5 3 778 2 0 0 0 0 0 108.157.188.19@443_192.168.84.55@37506 13769.205318359374 "1970-01-01 00:00:13.458351318" "1970-01-01 00:00:13.769205318" 177.00B 778.00B "0.00 kbits" "0.02 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 46718 142.250.185.100 443 30652.316650390625 109.906 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 142.250.185.100@443_192.168.84.55@46718 30762.222650390624 "1970-01-01 00:00:30.652316650" "1970-01-01 00:00:30.762222650" 0B 0B "0.00 kbits" "0.00 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 32884 216.58.206.35 443 30652.317626953125 109.907 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 216.58.206.35@443_192.168.84.55@32884 30762.224626953124 "1970-01-01 00:00:30.652317627" "1970-01-01 00:00:30.762224627" 0B 0B "0.00 kbits" "0.00 kbits" www.google.it HTTP/1.x-HTTP/2_null
192.168.84.55 45054 18.66.218.33 443 12048.187255859375 303.84 15 0 14 5 4232 9 0 0 0 1 0 17 0 17 9 7804 7 0 0 0 1 0 18.66.218.33@443_192.168.84.55@45054 12352.027255859375 "1970-01-01 00:00:12.048187256" "1970-01-01 00:00:12.352027256" 4.13KB 7.62KB "0.11 kbits" "0.21 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 44806 162.247.243.29 443 30280.4033203125 662.479 49 0 48 5 52321 42 0 0 0 1 1 38 0 38 31 4888 5 0 0 0 1 1 162.247.243.29@443_192.168.84.55@44806 30942.8823203125 "1970-01-01 00:00:30.280403320" "1970-01-01 00:00:30.942882320" 51.09KB 4.77KB "0.63 kbits" "0.06 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 54286 172.64.155.119 443 12724.396484375 471.444 13 0 12 4 3339 8 0 0 0 1 0 15 0 15 8 4587 6 0 0 0 1 0 172.64.155.119@443_192.168.84.55@54286 13195.840484375 "1970-01-01 00:00:12.724396484" "1970-01-01 00:00:13.195840484" 3.26KB 4.48KB "0.06 kbits" "0.08 kbits" api.onetrust.com HTTP/1.x-HTTP/2_null
192.168.84.55 56726 99.86.159.10 443 13033.864501953125 335.781 15 0 14 6 4213 8 0 0 0 1 0 17 0 17 8 7425 8 0 0 0 1 0 99.86.159.10@443_192.168.84.55@56726 13369.645501953126 "1970-01-01 00:00:13.033864502" "1970-01-01 00:00:13.369645502" 4.11KB 7.25KB "0.10 kbits" "0.18 kbits" onboarding.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 43026 108.139.243.13 443 30021.173583984375 965.216 72 0 72 45 17400 27 1 39 0 0 0 131 0 131 25 206237 106 0 0 0 0 0 108.139.243.13@443_192.168.84.55@43026 30986.389583984375 "1970-01-01 00:00:30.021173584" "1970-01-01 00:00:30.986389584" 16.99KB 201.40KB "0.14 kbits" "1.71 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37820 18.66.218.64 443 12692.810546875 185.034 9 0 8 5 1896 3 0 0 0 1 0 8 0 8 3 6215 4 0 0 0 1 0 18.66.218.64@443_192.168.84.55@37820 12877.844546875 "1970-01-01 00:00:12.692810547" "1970-01-01 00:00:12.877844547" 1.85KB 6.07KB "0.08 kbits" "0.27 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 55518 108.138.192.43 443 13056.42529296875 811.282 17 0 16 4 4462 12 0 0 0 1 0 21 0 21 12 8578 8 0 0 0 1 0 108.138.192.43@443_192.168.84.55@55518 13867.70729296875 "1970-01-01 00:00:13.056425293" "1970-01-01 00:00:13.867707293" 4.36KB 8.38KB "0.04 kbits" "0.08 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 60186 3.122.65.191 443 13088.877685546875 337.971 16 0 15 6 7006 9 0 0 0 1 0 17 0 17 8 11611 8 0 0 0 1 0 3.122.65.191@443_192.168.84.55@60186 13426.848685546875 "1970-01-01 00:00:13.088877686" "1970-01-01 00:00:13.426848686" 6.84KB 11.34KB "0.17 kbits" "0.27 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 59276 18.196.72.227 443 13059.93359375 322.974 14 0 13 4 4273 9 0 0 0 1 0 15 0 15 8 6060 6 0 0 0 1 0 18.196.72.227@443_192.168.84.55@59276 13382.90759375 "1970-01-01 00:00:13.059933594" "1970-01-01 00:00:13.382907594" 4.17KB 5.92KB "0.11 kbits" "0.15 kbits" ar.indazn.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 55068 151.101.242.49 443 14734.82861328125 241.814 6 0 6 0 890 6 0 0 0 0 0 10 0 10 6 1100 4 0 0 0 0 0 151.101.242.49@443_192.168.84.55@55068 14976.64261328125 "1970-01-01 00:00:14.734828613" "1970-01-01 00:00:14.976642613" 890.00B 1.07KB "0.03 kbits" "0.04 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 57628 18.66.196.6 443 13136.220458984375 315.404 15 0 14 5 4241 9 0 0 0 1 0 15 0 15 7 9245 7 0 0 0 1 0 18.66.196.6@443_192.168.84.55@57628 13451.624458984375 "1970-01-01 00:00:13.136220459" "1970-01-01 00:00:13.451624459" 4.14KB 9.03KB "0.11 kbits" "0.23 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 34262 108.138.192.99 443 14401.9716796875 277.426 14 0 13 5 4261 8 0 0 0 1 0 16 0 16 8 7398 7 0 0 0 1 0 108.138.192.99@443_192.168.84.55@34262 14679.3976796875 "1970-01-01 00:00:14.401971680" "1970-01-01 00:00:14.679397680" 4.16KB 7.22KB "0.12 kbits" "0.21 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
