c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 34914 2444.6865234375 0.0 39 1 0 192.168.84.198 53 2489.37548828125 0.0 96 1 0 - - 192.168.84.198@53_192.168.84.55@34914 2444.6865234375 2489.37548828125 "1970-01-01 00:00:02.444686523" "1970-01-01 00:00:02.444686523" "1970-01-01 00:00:02.489375488" "1970-01-01 00:00:02.489375488"  UNKNOWN 39.00B 96.00B
192.168.84.55 39600 2490.0654296875 0.307261 5854 16 27 142.250.185.195 443 2585.41650390625 0.261908 9883 13 27 update.googleapis.com update.googleapis.com 142.250.185.195@443_192.168.84.55@39600 2490.372802734375 2585.678466796875 "1970-01-01 00:00:02.490065430" "1970-01-01 00:00:02.490372803" "1970-01-01 00:00:02.585416504" "1970-01-01 00:00:02.585678467" update.googleapis.com UDP_QUIC 5.72KB 9.65KB
192.168.84.55 2567 10198.800537109375 0.0 53 1 19 192.168.84.198 53 10349.719482421875 0.0 309 1 19 - - 192.168.84.198@53_192.168.84.55@2567 10198.800537109375 10349.719482421875 "1970-01-01 00:00:10.198800537" "1970-01-01 00:00:10.198800537" "1970-01-01 00:00:10.349719482" "1970-01-01 00:00:10.349719482"  DNS 53.00B 309.00B
192.168.84.55 50413 10198.87646484375 0.0 53 1 0 192.168.84.198 53 10349.718505859375 0.0 110 1 0 - - 192.168.84.198@53_192.168.84.55@50413 10198.87646484375 10349.718505859375 "1970-01-01 00:00:10.198876465" "1970-01-01 00:00:10.198876465" "1970-01-01 00:00:10.349718506" "1970-01-01 00:00:10.349718506"  UNKNOWN 53.00B 110.00B
192.168.84.55 38540 10350.64453125 0.795063 6167 20 27 142.250.185.202 443 10532.851318359375 0.688823 14488 18 27 optimizationguide-pa.googleapis.com optimizationguide-pa.googleapis.com 142.250.185.202@443_192.168.84.55@38540 10351.439697265625 10533.5400390625 "1970-01-01 00:00:10.350644531" "1970-01-01 00:00:10.351439697" "1970-01-01 00:00:10.532851318" "1970-01-01 00:00:10.533540039" pa.googleapis.com UDP_QUIC 6.02KB 14.15KB
192.168.84.55 61813 11027.343505859375 0.0 30 1 19 192.168.84.198 53 11082.83544921875 0.0 94 1 19 - - 192.168.84.198@53_192.168.84.55@61813 11027.343505859375 11082.83544921875 "1970-01-01 00:00:11.027343506" "1970-01-01 00:00:11.027343506" "1970-01-01 00:00:11.082835449" "1970-01-01 00:00:11.082835449"  DNS 30.00B 94.00B
192.168.84.55 47725 11027.48046875 0.0 30 1 0 192.168.84.198 53 11075.603515625 0.0 112 1 0 - - 192.168.84.198@53_192.168.84.55@47725 11027.48046875 11075.603515625 "1970-01-01 00:00:11.027480469" "1970-01-01 00:00:11.027480469" "1970-01-01 00:00:11.075603516" "1970-01-01 00:00:11.075603516"  UNKNOWN 30.00B 112.00B
192.168.84.55 18410 11040.4453125 0.0 65 1 19 192.168.84.198 53 11090.02734375 0.0 81 1 19 - - 192.168.84.198@53_192.168.84.55@18410 11040.4453125 11090.02734375 "1970-01-01 00:00:11.040445312" "1970-01-01 00:00:11.040445312" "1970-01-01 00:00:11.090027344" "1970-01-01 00:00:11.090027344"  DNS 65.00B 81.00B
192.168.84.55 2393 11040.50244140625 0.0 65 1 0 192.168.84.198 53 11094.066162109375 0.0 123 1 0 - - 192.168.84.198@53_192.168.84.55@2393 11040.50244140625 11094.066162109375 "1970-01-01 00:00:11.040502441" "1970-01-01 00:00:11.040502441" "1970-01-01 00:00:11.094066162" "1970-01-01 00:00:11.094066162"  UNKNOWN 65.00B 123.00B
192.168.84.55 18726 11479.468505859375 0.0 41 1 19 192.168.84.198 53 11579.325439453125 0.0 89 1 19 - - 192.168.84.198@53_192.168.84.55@18726 11479.468505859375 11579.325439453125 "1970-01-01 00:00:11.479468506" "1970-01-01 00:00:11.479468506" "1970-01-01 00:00:11.579325439" "1970-01-01 00:00:11.579325439"  DNS 41.00B 89.00B
192.168.84.55 49643 11479.552490234375 0.0 41 1 0 192.168.84.198 53 11579.326171875 0.0 122 1 0 - - 192.168.84.198@53_192.168.84.55@49643 11479.552490234375 11579.326171875 "1970-01-01 00:00:11.479552490" "1970-01-01 00:00:11.479552490" "1970-01-01 00:00:11.579326172" "1970-01-01 00:00:11.579326172"  UNKNOWN 41.00B 122.00B
192.168.84.55 15237 12061.176513671875 0.0 44 1 19 192.168.84.198 53 12116.765380859375 0.0 108 1 19 - - 192.168.84.198@53_192.168.84.55@15237 12061.176513671875 12116.765380859375 "1970-01-01 00:00:12.061176514" "1970-01-01 00:00:12.061176514" "1970-01-01 00:00:12.116765381" "1970-01-01 00:00:12.116765381"  DNS 44.00B 108.00B
