c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 36810 74.125.143.84 443 786.303466796875 311.801 8 0 7 4 1803 3 0 0 0 1 0 7 0 7 3 6356 3 0 0 0 1 0 74.125.143.84@443_192.168.84.55@36810 1098.104466796875 "1970-01-01 00:00:00.786303467" "1970-01-01 00:00:01.098104467" 1.76KB 6.21KB "0.05 kbits" "0.16 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 39534 142.250.185.100 443 561.7841796875 236.03 7 0 6 3 1830 3 0 0 0 1 0 6 0 6 3 5351 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@39534 797.8141796875 "1970-01-01 00:00:00.561784180" "1970-01-01 00:00:00.797814180" 1.79KB 5.23KB "0.06 kbits" "0.18 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 42042 172.217.16.195 443 679.7314453125 351.399 13 0 12 5 2413 7 0 0 0 1 0 15 0 15 7 7293 7 0 0 0 1 0 172.217.16.195@443_192.168.84.55@42042 1031.1304453125 "1970-01-01 00:00:00.679731445" "1970-01-01 00:00:01.031130445" 2.36KB 7.12KB "0.05 kbits" "0.17 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 39534 142.250.185.100 443 2493.3994140625 75.747 2 1 1 0 0 0 0 0 0 0 1 2 0 2 1 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@39534 2569.1464140625 "1970-01-01 00:00:02.493399414" "1970-01-01 00:00:02.569146414" 0B 958.00B "0.00 kbits" "0.10 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 42042 172.217.16.195 443 2494.225341796875 74.944 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@42042 2569.169341796875 "1970-01-01 00:00:02.494225342" "1970-01-01 00:00:02.569169342" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 36738 142.250.186.110 443 2274.87939453125 297.488 9 0 8 4 1885 3 0 0 0 1 1 9 0 9 4 8249 3 0 0 0 1 1 142.250.186.110@443_192.168.84.55@36738 2572.36739453125 "1970-01-01 00:00:02.274879395" "1970-01-01 00:00:02.572367395" 1.84KB 8.06KB "0.05 kbits" "0.22 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 36810 74.125.143.84 443 2493.343505859375 85.541 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@36810 2578.884505859375 "1970-01-01 00:00:02.493343506" "1970-01-01 00:00:02.578884506" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 50358 108.139.243.100 443 11083.154541015625 342.287 35 0 34 27 3828 7 0 0 0 1 0 71 0 71 7 194482 63 0 0 0 1 0 108.139.243.100@443_192.168.84.55@50358 11425.441541015625 "1970-01-01 00:00:11.083154541" "1970-01-01 00:00:11.425441541" 3.74KB 189.92KB "0.09 kbits" "4.55 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37890 108.157.188.19 443 12117.650146484375 429.998 14 0 13 4 4162 9 0 0 0 1 0 16 0 16 9 7002 6 0 0 0 1 0 108.157.188.19@443_192.168.84.55@37890 12547.648146484375 "1970-01-01 00:00:12.117650146" "1970-01-01 00:00:12.547648146" 4.06KB 6.84KB "0.08 kbits" "0.13 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 58728 108.139.243.76 443 13128.3681640625 988.71 59 0 58 32 8940 26 0 0 0 1 0 108 0 108 25 128899 82 0 0 0 1 0 108.139.243.76@443_192.168.84.55@58728 14117.0781640625 "1970-01-01 00:00:13.128368164" "1970-01-01 00:00:14.117078164" 8.73KB 125.88KB "0.07 kbits" "1.04 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
