c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 39534 9 1 1830 3 0 0 0 1 1 142.250.185.100 443 8 0 6309 3 0 0 0 1 0 561.7841796875 2569.146484375 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@39534 "1970-01-01 00:00:00.561784180" "1970-01-01 00:00:02.569146484" www.google.com HTTP/1.x-HTTP/2_null 1.79KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 42042 15 0 2413 7 0 0 0 1 1 172.217.16.195 443 17 0 7293 7 0 0 0 1 1 679.7314453125 2569.16943359375 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@42042 "1970-01-01 00:00:00.679731445" "1970-01-01 00:00:02.569169434" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.36KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 36738 9 0 1885 3 0 0 0 1 1 142.250.186.110 443 9 0 8249 3 0 0 0 1 1 2274.87939453125 2572.367431640625 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@36738 "1970-01-01 00:00:02.274879395" "1970-01-01 00:00:02.572367432" play.google.com HTTP/1.x-HTTP/2_null 1.84KB 8.06KB "0.05 kbits" "0.22 kbits"
192.168.84.55 36810 10 0 1803 3 0 0 0 1 1 74.125.143.84 443 9 0 6356 3 0 0 0 1 1 786.303466796875 2578.884521484375 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@36810 "1970-01-01 00:00:00.786303467" "1970-01-01 00:00:02.578884521" accounts.google.com HTTP/1.x-HTTP/2_null 1.76KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 35316 16 1 4556 8 1 517 0 1 1 3.73.166.114 443 16 0 5850 7 0 0 0 1 0 12699.326171875 30252.637451171875 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.73.166.114@443_192.168.84.55@35316 "1970-01-01 00:00:12.699326172" "1970-01-01 00:00:30.252637451" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.45KB 5.71KB "0.00 kbits" "0.00 kbits"
192.168.84.55 35328 12 1 2680 6 0 0 0 1 1 3.73.166.114 443 12 0 421 4 0 0 0 1 0 13825.678466796875 30252.6455078125 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.73.166.114@443_192.168.84.55@35328 "1970-01-01 00:00:13.825678467" "1970-01-01 00:00:30.252645508" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.62KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 35344 13 1 4515 7 0 0 0 1 1 3.73.166.114 443 13 0 421 4 0 0 0 1 0 15986.396484375 30252.676513671875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.73.166.114@443_192.168.84.55@35344 "1970-01-01 00:00:15.986396484" "1970-01-01 00:00:30.252676514" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.41KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 50696 10 1 3808 5 0 0 0 1 0 162.247.243.29 443 10 0 4695 4 0 0 0 1 0 30145.439453125 30485.823486328125 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@50696 "1970-01-01 00:00:30.145439453" "1970-01-01 00:00:30.485823486" data.net HTTP/1.x-HTTP/2_null 3.72KB 4.58KB "0.09 kbits" "0.11 kbits"
192.168.84.55 41100 9 0 1893 3 0 0 0 1 1 216.58.206.35 443 8 0 5356 2 0 0 0 1 1 20585.593505859375 30946.920166015625 8192 www.google.it - 160 0 www.google.it - 216.58.206.35@443_192.168.84.55@41100 "1970-01-01 00:00:20.585593506" "1970-01-01 00:00:30.946920166" www.google.it HTTP/1.x-HTTP/2_null 1.85KB 5.23KB "0.00 kbits" "0.00 kbits"
192.168.84.55 35902 9 0 1830 3 0 0 0 1 1 142.250.185.100 443 8 0 5351 2 0 0 0 1 1 20524.62744140625 30946.92138671875 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@35902 "1970-01-01 00:00:20.524627441" "1970-01-01 00:00:30.946921387" www.google.com HTTP/1.x-HTTP/2_null 1.79KB 5.23KB "0.00 kbits" "0.00 kbits"
192.168.84.55 36192 11 0 1834 3 0 0 0 1 1 91.81.128.189 443 11 0 4023 5 0 0 0 1 1 32777.716552734375 38395.475341796875 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@36192 "1970-01-01 00:00:32.777716553" "1970-01-01 00:00:38.395475342" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 1.79KB 3.93KB "0.00 kbits" "0.01 kbits"
192.168.84.55 50682 54 0 56839 46 0 0 0 1 1 162.247.243.29 443 51 0 1764 5 0 0 0 1 1 30145.200439453125 40745.529541015625 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@50682 "1970-01-01 00:00:30.145200439" "1970-01-01 00:00:40.745529541" data.net HTTP/1.x-HTTP/2_null 55.51KB 1.72KB "0.04 kbits" "0.00 kbits"
192.168.84.55 47968 13 0 1915 3 0 0 0 1 1 23.51.48.218 443 13 0 4197 5 2 1388 0 2 1 33202.74951171875 54813.34814453125 8192 time.akamai.com time.akamai.com 160 32 time.akamai.com - 23.51.48.218@443_192.168.84.55@47968 "1970-01-01 00:00:33.202749512" "1970-01-01 00:00:54.813348145" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x 1.87KB 4.10KB "0.00 kbits" "0.00 kbits"
192.168.84.55 47964 13 0 1851 3 0 0 0 1 1 23.51.48.218 443 12 0 4197 5 2 1388 0 2 1 32951.5703125 54813.349365234375 8192 time.akamai.com time.akamai.com 160 32 time.akamai.com - 23.51.48.218@443_192.168.84.55@47964 "1970-01-01 00:00:32.951570312" "1970-01-01 00:00:54.813349365" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x 1.81KB 4.10KB "0.00 kbits" "0.00 kbits"
192.168.84.55 59134 11 0 1869 3 0 0 0 1 1 142.250.185.195 443 10 0 6724 3 0 0 0 1 1 2621.71044921875 62946.75146484375 8192 update.googleapis.com - 160 0 update.googleapis.com - 142.250.185.195@443_192.168.84.55@59134 "1970-01-01 00:00:02.621710449" "1970-01-01 00:01:02.946751465" update.googleapis.com HTTP/1.x-HTTP/2_null 1.83KB 6.57KB "0.00 kbits" "0.00 kbits"
192.168.84.55 48050 12 0 1915 3 0 0 0 1 1 142.250.185.202 443 11 0 6766 4 0 0 0 1 1 10528.17333984375 72846.025390625 8192 optimizationguide-pa.googleapis.com - 160 0 optimizationguide-pa.googleapis.com - 142.250.185.202@443_192.168.84.55@48050 "1970-01-01 00:00:10.528173340" "1970-01-01 00:01:12.846025391" pa.googleapis.com HTTP/1.x-HTTP/2_null 1.87KB 6.61KB "0.00 kbits" "0.00 kbits"
192.168.84.55 38226 11 0 1855 3 0 0 0 1 1 104.19.177.52 443 10 0 3792 3 0 0 0 1 1 12671.420166015625 72911.29614257812 8192 cdn.cookielaw.org - 160 0 cdn.cookielaw.org - 104.19.177.52@443_192.168.84.55@38226 "1970-01-01 00:00:12.671420166" "1970-01-01 00:01:12.911296143" cdn.cookielaw.org HTTP/1.x-HTTP/2_null 1.81KB 3.70KB "0.00 kbits" "0.00 kbits"
