c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 5353 2464.0146484375 3.002131 120 3 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.43.106@5353 2467.016845703125 0.0 "1970-01-01 00:00:02.464014648" "1970-01-01 00:00:02.467016846" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 120.00B 0B
192.168.43.106 26701 2466.50146484375 0.0 39 1 19 192.168.43.1 53 2470.57763671875 0.0 55 1 19 - - 192.168.43.1@53_192.168.43.106@26701 2466.50146484375 2470.57763671875 "1970-01-01 00:00:02.466501465" "1970-01-01 00:00:02.466501465" "1970-01-01 00:00:02.470577637" "1970-01-01 00:00:02.470577637"  DNS 39.00B 55.00B
192.168.43.106 59533 2466.597412109375 0.0 39 1 0 192.168.43.1 53 2506.482666015625 0.0 96 1 0 - - 192.168.43.1@53_192.168.43.106@59533 2466.597412109375 2506.482666015625 "1970-01-01 00:00:02.466597412" "1970-01-01 00:00:02.466597412" "1970-01-01 00:00:02.506482666" "1970-01-01 00:00:02.506482666"  UNKNOWN 39.00B 96.00B
192.168.43.106 56715 2476.830810546875 0.409515 7659 15 27 142.251.209.3 443 2531.1337890625 0.390388 10096 15 27 update.googleapis.com update.googleapis.com 142.251.209.3@443_192.168.43.106@56715 2477.240234375 2531.524169921875 "1970-01-01 00:00:02.476830811" "1970-01-01 00:00:02.477240234" "1970-01-01 00:00:02.531133789" "1970-01-01 00:00:02.531524170" update.googleapis.com UDP_QUIC 7.48KB 9.86KB
192.168.43.106 60189 10188.8828125 0.0 53 1 19 192.168.43.1 53 10421.670654296875 0.0 181 1 19 - - 192.168.43.1@53_192.168.43.106@60189 10188.8828125 10421.670654296875 "1970-01-01 00:00:10.188882812" "1970-01-01 00:00:10.188882812" "1970-01-01 00:00:10.421670654" "1970-01-01 00:00:10.421670654"  DNS 53.00B 181.00B
192.168.43.106 62174 10189.004638671875 0.0 53 1 0 192.168.43.1 53 10421.671630859375 0.0 110 1 0 - - 192.168.43.1@53_192.168.43.106@62174 10189.004638671875 10421.671630859375 "1970-01-01 00:00:10.189004639" "1970-01-01 00:00:10.189004639" "1970-01-01 00:00:10.421671631" "1970-01-01 00:00:10.421671631"  UNKNOWN 53.00B 110.00B
192.168.43.106 48853 10423.097412109375 0.435065 5789 14 27 216.58.204.234 443 10626.73974609375 0.394358 11941 16 27 optimizationguide-pa.googleapis.com optimizationguide-pa.googleapis.com 216.58.204.234@443_192.168.43.106@48853 10423.532470703125 10627.134033203125 "1970-01-01 00:00:10.423097412" "1970-01-01 00:00:10.423532471" "1970-01-01 00:00:10.626739746" "1970-01-01 00:00:10.627134033" pa.googleapis.com UDP_QUIC 5.65KB 11.66KB
192.168.43.106 42335 11032.57373046875 0.0 30 1 19 192.168.43.1 53 11090.15673828125 0.0 231 1 19 - - 192.168.43.1@53_192.168.43.106@42335 11032.57373046875 11090.15673828125 "1970-01-01 00:00:11.032573730" "1970-01-01 00:00:11.032573730" "1970-01-01 00:00:11.090156738" "1970-01-01 00:00:11.090156738"  DNS 30.00B 231.00B
192.168.43.106 6398 11032.67578125 0.0 30 1 0 192.168.43.1 53 11118.417724609375 0.0 112 1 0 - - 192.168.43.1@53_192.168.43.106@6398 11032.67578125 11118.417724609375 "1970-01-01 00:00:11.032675781" "1970-01-01 00:00:11.032675781" "1970-01-01 00:00:11.118417725" "1970-01-01 00:00:11.118417725"  UNKNOWN 30.00B 112.00B
192.168.43.106 12596 11648.81982421875 0.0 41 1 0 192.168.43.1 53 11753.052734375 0.0 122 1 0 - - 192.168.43.1@53_192.168.43.106@12596 11648.81982421875 11753.052734375 "1970-01-01 00:00:11.648819824" "1970-01-01 00:00:11.648819824" "1970-01-01 00:00:11.753052734" "1970-01-01 00:00:11.753052734"  UNKNOWN 41.00B 122.00B
192.168.43.106 16776 12660.0546875 0.0 41 1 19 192.168.43.1 53 12666.69482421875 0.0 89 1 19 - - 192.168.43.1@53_192.168.43.106@16776 12660.0546875 12666.69482421875 "1970-01-01 00:00:12.660054688" "1970-01-01 00:00:12.660054688" "1970-01-01 00:00:12.666694824" "1970-01-01 00:00:12.666694824"  DNS 41.00B 89.00B
192.168.43.106 40351 12685.11376953125 0.0 35 1 19 192.168.43.1 53 12755.983642578125 0.0 67 1 19 - - 192.168.43.1@53_192.168.43.106@40351 12685.11376953125 12755.983642578125 "1970-01-01 00:00:12.685113770" "1970-01-01 00:00:12.685113770" "1970-01-01 00:00:12.755983643" "1970-01-01 00:00:12.755983643"  DNS 35.00B 67.00B
192.168.43.106 23625 12685.184814453125 0.0 35 1 0 192.168.43.1 53 12755.984619140625 0.0 105 1 0 - - 192.168.43.1@53_192.168.43.106@23625 12685.184814453125 12755.984619140625 "1970-01-01 00:00:12.685184814" "1970-01-01 00:00:12.685184814" "1970-01-01 00:00:12.755984619" "1970-01-01 00:00:12.755984619"  UNKNOWN 35.00B 105.00B
192.168.43.106 1067 12685.388671875 0.0 33 1 19 192.168.43.1 53 12755.98583984375 0.0 103 1 19 - - 192.168.43.1@53_192.168.43.106@1067 12685.388671875 12755.98583984375 "1970-01-01 00:00:12.685388672" "1970-01-01 00:00:12.685388672" "1970-01-01 00:00:12.755985840" "1970-01-01 00:00:12.755985840"  DNS 33.00B 103.00B
192.168.43.106 16070 12685.439453125 0.0 33 1 0 192.168.43.1 53 12755.98681640625 0.0 149 1 0 - - 192.168.43.1@53_192.168.43.106@16070 12685.439453125 12755.98681640625 "1970-01-01 00:00:12.685439453" "1970-01-01 00:00:12.685439453" "1970-01-01 00:00:12.755986816" "1970-01-01 00:00:12.755986816"  UNKNOWN 33.00B 149.00B
192.168.43.106 13839 12695.7158203125 0.0 35 1 19 192.168.43.1 53 12755.98876953125 0.0 188 1 19 - - 192.168.43.1@53_192.168.43.106@13839 12695.7158203125 12755.98876953125 "1970-01-01 00:00:12.695715820" "1970-01-01 00:00:12.695715820" "1970-01-01 00:00:12.755988770" "1970-01-01 00:00:12.755988770"  DNS 35.00B 188.00B
192.168.43.106 33327 12695.788818359375 0.0 35 1 0 192.168.43.1 53 12767.685791015625 0.0 113 1 0 - - 192.168.43.1@53_192.168.43.106@33327 12695.788818359375 12767.685791015625 "1970-01-01 00:00:12.695788818" "1970-01-01 00:00:12.695788818" "1970-01-01 00:00:12.767685791" "1970-01-01 00:00:12.767685791"  UNKNOWN 35.00B 113.00B
192.168.43.106 8577 12758.853759765625 0.0 49 1 19 192.168.43.1 53 12832.388671875 0.0 250 1 19 - - 192.168.43.1@53_192.168.43.106@8577 12758.853759765625 12832.388671875 "1970-01-01 00:00:12.758853760" "1970-01-01 00:00:12.758853760" "1970-01-01 00:00:12.832388672" "1970-01-01 00:00:12.832388672"  DNS 49.00B 250.00B
192.168.43.106 11775 12758.907470703125 0.0 49 1 0 192.168.43.1 53 12829.30078125 0.0 131 1 0 - - 192.168.43.1@53_192.168.43.106@11775 12758.907470703125 12829.30078125 "1970-01-01 00:00:12.758907471" "1970-01-01 00:00:12.758907471" "1970-01-01 00:00:12.829300781" "1970-01-01 00:00:12.829300781"  UNKNOWN 49.00B 131.00B
192.168.43.106 26649 13020.996826171875 0.0 44 1 19 192.168.43.1 53 13064.65869140625 0.0 245 1 19 - - 192.168.43.1@53_192.168.43.106@26649 13020.996826171875 13064.65869140625 "1970-01-01 00:00:13.020996826" "1970-01-01 00:00:13.020996826" "1970-01-01 00:00:13.064658691" "1970-01-01 00:00:13.064658691"  DNS 44.00B 245.00B
192.168.43.106 35537 13021.103759765625 0.0 44 1 0 192.168.43.1 53 13149.294677734375 0.0 125 1 0 - - 192.168.43.1@53_192.168.43.106@35537 13021.103759765625 13149.294677734375 "1970-01-01 00:00:13.021103760" "1970-01-01 00:00:13.021103760" "1970-01-01 00:00:13.149294678" "1970-01-01 00:00:13.149294678"  UNKNOWN 44.00B 125.00B
192.168.43.106 54946 13022.57177734375 0.0 40 1 19 192.168.43.1 53 13085.292724609375 0.0 241 1 19 - - 192.168.43.1@53_192.168.43.106@54946 13022.57177734375 13085.292724609375 "1970-01-01 00:00:13.022571777" "1970-01-01 00:00:13.022571777" "1970-01-01 00:00:13.085292725" "1970-01-01 00:00:13.085292725"  DNS 40.00B 241.00B
192.168.43.106 8442 13022.667724609375 0.0 40 1 0 192.168.43.1 53 13081.879638671875 0.0 124 1 0 - - 192.168.43.1@53_192.168.43.106@8442 13022.667724609375 13081.879638671875 "1970-01-01 00:00:13.022667725" "1970-01-01 00:00:13.022667725" "1970-01-01 00:00:13.081879639" "1970-01-01 00:00:13.081879639"  UNKNOWN 40.00B 124.00B
192.168.43.106 31713 13361.07275390625 0.0 36 1 19 192.168.43.1 53 13456.60546875 0.0 143 1 19 - - 192.168.43.1@53_192.168.43.106@31713 13361.07275390625 13456.60546875 "1970-01-01 00:00:13.361072754" "1970-01-01 00:00:13.361072754" "1970-01-01 00:00:13.456605469" "1970-01-01 00:00:13.456605469"  DNS 36.00B 143.00B
192.168.43.106 25617 13361.226806640625 0.0 36 1 0 192.168.43.1 53 13466.392822265625 0.0 143 1 0 - - 192.168.43.1@53_192.168.43.106@25617 13361.226806640625 13466.392822265625 "1970-01-01 00:00:13.361226807" "1970-01-01 00:00:13.361226807" "1970-01-01 00:00:13.466392822" "1970-01-01 00:00:13.466392822"  UNKNOWN 36.00B 143.00B
192.168.43.106 7476 13367.349609375 0.0 35 1 19 192.168.43.1 53 13426.7646484375 0.0 236 1 19 - - 192.168.43.1@53_192.168.43.106@7476 13367.349609375 13426.7646484375 "1970-01-01 00:00:13.367349609" "1970-01-01 00:00:13.367349609" "1970-01-01 00:00:13.426764648" "1970-01-01 00:00:13.426764648"  DNS 35.00B 236.00B
192.168.43.106 13045 13367.429443359375 0.0 35 1 18 192.168.43.1 53 13437.02783203125 0.0 119 1 18 - - 192.168.43.1@53_192.168.43.106@13045 13367.429443359375 13437.02783203125 "1970-01-01 00:00:13.367429443" "1970-01-01 00:00:13.367429443" "1970-01-01 00:00:13.437027832" "1970-01-01 00:00:13.437027832"  P2P_OKAD 35.00B 119.00B
192.168.43.106 27724 13378.270751953125 0.0 47 1 19 192.168.43.1 53 13505.61083984375 0.0 248 1 19 - - 192.168.43.1@53_192.168.43.106@27724 13378.270751953125 13505.61083984375 "1970-01-01 00:00:13.378270752" "1970-01-01 00:00:13.378270752" "1970-01-01 00:00:13.505610840" "1970-01-01 00:00:13.505610840"  DNS 47.00B 248.00B
192.168.43.106 20219 13378.41943359375 0.0 47 1 0 192.168.43.1 53 13515.5146484375 0.0 129 1 0 - - 192.168.43.1@53_192.168.43.106@20219 13378.41943359375 13515.5146484375 "1970-01-01 00:00:13.378419434" "1970-01-01 00:00:13.378419434" "1970-01-01 00:00:13.515514648" "1970-01-01 00:00:13.515514648"  UNKNOWN 47.00B 129.00B
192.168.43.106 48206 13385.775634765625 0.0 51 1 19 192.168.43.1 53 13433.73876953125 0.0 299 1 19 - - 192.168.43.1@53_192.168.43.106@48206 13385.775634765625 13433.73876953125 "1970-01-01 00:00:13.385775635" "1970-01-01 00:00:13.385775635" "1970-01-01 00:00:13.433738770" "1970-01-01 00:00:13.433738770"  DNS 51.00B 299.00B
192.168.43.106 53634 13385.849609375 0.0 51 1 0 192.168.43.1 53 13495.830810546875 0.0 179 1 0 - - 192.168.43.1@53_192.168.43.106@53634 13385.849609375 13495.830810546875 "1970-01-01 00:00:13.385849609" "1970-01-01 00:00:13.385849609" "1970-01-01 00:00:13.495830811" "1970-01-01 00:00:13.495830811"  UNKNOWN 51.00B 179.00B
192.168.43.106 56771 13386.039794921875 0.0 34 1 19 192.168.43.1 53 13459.956787109375 0.0 219 1 19 - - 192.168.43.1@53_192.168.43.106@56771 13386.039794921875 13459.956787109375 "1970-01-01 00:00:13.386039795" "1970-01-01 00:00:13.386039795" "1970-01-01 00:00:13.459956787" "1970-01-01 00:00:13.459956787"  DNS 34.00B 219.00B
192.168.43.106 2250 13386.0966796875 0.0 34 1 0 192.168.43.1 53 13459.979736328125 0.0 118 1 0 - - 192.168.43.1@53_192.168.43.106@2250 13386.0966796875 13459.979736328125 "1970-01-01 00:00:13.386096680" "1970-01-01 00:00:13.386096680" "1970-01-01 00:00:13.459979736" "1970-01-01 00:00:13.459979736"  UNKNOWN 34.00B 118.00B
192.168.43.106 32870 13438.40478515625 0.0 44 1 19 192.168.43.1 53 13489.2236328125 0.0 245 1 19 - - 192.168.43.1@53_192.168.43.106@32870 13438.40478515625 13489.2236328125 "1970-01-01 00:00:13.438404785" "1970-01-01 00:00:13.438404785" "1970-01-01 00:00:13.489223633" "1970-01-01 00:00:13.489223633"  DNS 44.00B 245.00B
192.168.43.106 33201 13438.44140625 0.0 44 1 0 192.168.43.1 53 13518.774658203125 0.0 128 1 0 - - 192.168.43.1@53_192.168.43.106@33201 13438.44140625 13518.774658203125 "1970-01-01 00:00:13.438441406" "1970-01-01 00:00:13.438441406" "1970-01-01 00:00:13.518774658" "1970-01-01 00:00:13.518774658"  UNKNOWN 44.00B 128.00B
