c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 58394 108.139.243.81 443 12227.14501953125 638.668 43 0 17199 32 0 0 0 0 0 66 0 17468 36 1 469 0 0 0 108.139.243.81@443_192.168.84.55@58394 12865.81301953125 "1970-01-01 00:00:12.227145020" "1970-01-01 00:00:12.865813020" 16.80KB 17.06KB "0.22 kbits" "0.22 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 47242 151.101.241.91 443 11074.208251953125 347.405 11 0 2610 6 0 0 0 1 0 11 0 5478 4 0 0 0 1 0 151.101.241.91@443_192.168.84.55@47242 11421.613251953126 "1970-01-01 00:00:11.074208252" "1970-01-01 00:00:11.421613252" 2.55KB 5.35KB "0.06 kbits" "0.13 kbits" ohttp-relay-safebrowsing.fastly-edge.com HTTP/1.x-HTTP/2_null
192.168.84.55 35192 162.247.241.14 443 23197.83837890625 261.391 13 0 15471 12 0 0 0 0 0 13 0 422 1 0 0 0 0 0 162.247.241.14@443_192.168.84.55@35192 23459.22937890625 "1970-01-01 00:00:23.197838379" "1970-01-01 00:00:23.459229379" 15.11KB 422.00B "0.47 kbits" "0.01 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 45328 52.29.225.243 443 11723.905029296875 440.468 16 0 2822 7 0 0 0 1 0 27 0 40831 19 0 0 0 1 0 52.29.225.243@443_192.168.84.55@45328 12164.373029296876 "1970-01-01 00:00:11.723905029" "1970-01-01 00:00:12.164373029" 2.76KB 39.87KB "0.05 kbits" "0.74 kbits" core.indazn.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 41458 3.126.67.130 443 16208.3251953125 389.705 9 0 4478 6 0 0 0 1 0 9 0 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@41458 16598.0301953125 "1970-01-01 00:00:16.208325195" "1970-01-01 00:00:16.598030195" 4.37KB 357.00B "0.09 kbits" "0.01 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 41442 3.126.67.130 443 12775.01220703125 476.563 12 0 4551 6 0 0 0 1 0 11 0 5786 5 0 0 0 1 0 3.126.67.130@443_192.168.84.55@41442 13251.57520703125 "1970-01-01 00:00:12.775012207" "1970-01-01 00:00:13.251575207" 4.44KB 5.65KB "0.08 kbits" "0.10 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 41454 3.126.67.130 443 14180.525390625 657.31 9 0 2643 5 0 0 0 1 0 8 0 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@41454 14837.835390625 "1970-01-01 00:00:14.180525391" "1970-01-01 00:00:14.837835391" 2.58KB 357.00B "0.03 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 41442 3.126.67.130 443 30252.06298828125 85.582 3 1 37 1 0 0 0 0 1 2 0 33 1 0 0 0 0 0 3.126.67.130@443_192.168.84.55@41442 30337.64498828125 "1970-01-01 00:00:30.252062988" "1970-01-01 00:00:30.337644988" 37.00B 33.00B "0.00 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 41454 3.126.67.130 443 30252.952392578125 84.713 3 1 37 1 0 0 0 0 1 3 0 33 1 0 0 0 0 0 3.126.67.130@443_192.168.84.55@41454 30337.665392578125 "1970-01-01 00:00:30.252952393" "1970-01-01 00:00:30.337665393" 37.00B 33.00B "0.00 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 41458 3.126.67.130 443 30251.79736328125 86.137 3 1 37 1 0 0 0 0 1 4 0 64 2 0 0 0 0 0 3.126.67.130@443_192.168.84.55@41458 30337.93436328125 "1970-01-01 00:00:30.251797363" "1970-01-01 00:00:30.337934363" 37.00B 64.00B "0.00 kbits" "0.01 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 54238 108.157.188.19 443 13594.545166015625 192.748 3 0 177 3 0 0 0 0 0 5 0 774 2 0 0 0 0 0 108.157.188.19@443_192.168.84.55@54238 13787.293166015625 "1970-01-01 00:00:13.594545166" "1970-01-01 00:00:13.787293166" 177.00B 774.00B "0.01 kbits" "0.03 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 55990 18.66.218.33 443 12394.039306640625 533.122 17 0 4136 9 0 0 0 1 0 18 0 7803 8 0 0 0 1 0 18.66.218.33@443_192.168.84.55@55990 12927.161306640624 "1970-01-01 00:00:12.394039307" "1970-01-01 00:00:12.927161307" 4.04KB 7.62KB "0.06 kbits" "0.12 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 45628 172.64.155.119 443 13235.872314453125 369.5 13 0 3273 8 0 0 0 1 0 15 0 4563 6 0 0 0 1 0 172.64.155.119@443_192.168.84.55@45628 13605.372314453125 "1970-01-01 00:00:13.235872314" "1970-01-01 00:00:13.605372314" 3.20KB 4.46KB "0.07 kbits" "0.10 kbits" api.onetrust.com HTTP/1.x-HTTP/2_null
192.168.84.55 59170 99.86.159.78 443 13185.500244140625 351.054 14 0 4181 8 0 0 0 1 0 16 0 7445 7 0 0 0 1 0 99.86.159.78@443_192.168.84.55@59170 13536.554244140625 "1970-01-01 00:00:13.185500244" "1970-01-01 00:00:13.536554244" 4.08KB 7.27KB "0.10 kbits" "0.17 kbits" onboarding.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 33988 142.250.185.100 443 20700.094970703125 205.817 7 0 1798 3 0 0 0 1 0 6 0 5349 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@33988 20905.911970703124 "1970-01-01 00:00:20.700094971" "1970-01-01 00:00:20.905911971" 1.76KB 5.22KB "0.07 kbits" "0.21 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 51558 18.66.218.48 443 12695.7373046875 233.381 9 0 1896 3 0 0 0 1 0 9 0 6215 5 0 0 0 1 0 18.66.218.48@443_192.168.84.55@51558 12929.1183046875 "1970-01-01 00:00:12.695737305" "1970-01-01 00:00:12.929118305" 1.85KB 6.07KB "0.06 kbits" "0.21 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 40694 108.138.192.43 443 13248.584228515625 719.278 17 0 4430 12 0 0 0 1 0 21 0 8563 8 0 0 0 1 0 108.138.192.43@443_192.168.84.55@40694 13967.862228515625 "1970-01-01 00:00:13.248584229" "1970-01-01 00:00:13.967862229" 4.33KB 8.36KB "0.05 kbits" "0.10 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 50922 35.156.96.205 443 13217.322998046875 299.865 16 0 7038 9 0 0 0 1 0 18 0 11640 8 0 0 0 1 0 35.156.96.205@443_192.168.84.55@50922 13517.187998046875 "1970-01-01 00:00:13.217322998" "1970-01-01 00:00:13.517187998" 6.87KB 11.37KB "0.19 kbits" "0.31 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 35352 3.120.25.142 443 13220.6171875 338.706 14 0 4369 9 0 0 0 1 0 15 0 6089 6 0 0 0 1 0 3.120.25.142@443_192.168.84.55@35352 13559.3231875 "1970-01-01 00:00:13.220617188" "1970-01-01 00:00:13.559323188" 4.27KB 5.95KB "0.10 kbits" "0.14 kbits" ar.indazn.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 57624 151.101.242.49 443 14775.3203125 261.734 6 0 890 6 0 0 0 0 0 10 0 1120 4 0 0 0 0 0 151.101.242.49@443_192.168.84.55@57624 15037.0543125 "1970-01-01 00:00:14.775320312" "1970-01-01 00:00:15.037054313" 890.00B 1.09KB "0.03 kbits" "0.03 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 36760 108.139.243.99 443 14255.31103515625 86.85 19 0 0 0 0 0 0 0 0 36 0 57518 30 0 0 0 0 0 108.139.243.99@443_192.168.84.55@36760 14342.16103515625 "1970-01-01 00:00:14.255311035" "1970-01-01 00:00:14.342161035" 0B 56.17KB "0.00 kbits" "5.30 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
