c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 59366 9 1 7 3 1853 3 0 0 0 1 1 142.250.186.110 443 7 0 7 3 8249 3 0 0 0 1 0 2331.92431640625 2506.09716796875 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@59366 "1970-01-01 00:00:02.331924316" "1970-01-01 00:00:02.506097168" play.google.com HTTP/1.x-HTTP/2_null 1.81KB 8.06KB "0.09 kbits" "0.38 kbits"
192.168.84.55 60908 16 0 15 6 2413 8 1 342 0 1 1 172.217.16.195 443 14 0 14 5 7292 7 1 1388 0 1 1 476.279296875 2537.020263671875 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@60908 "1970-01-01 00:00:00.476279297" "1970-01-01 00:00:02.537020264" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.36KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 34446 12 1 10 5 1798 4 1 336 0 1 1 142.250.185.100 443 9 0 9 3 6308 5 0 0 0 1 0 571.290283203125 2537.02734375 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@34446 "1970-01-01 00:00:00.571290283" "1970-01-01 00:00:02.537027344" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 53302 11 0 10 6 1899 3 0 0 0 1 1 74.125.143.84 443 10 0 10 4 6356 4 0 0 0 1 1 691.77734375 2543.458251953125 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@53302 "1970-01-01 00:00:00.691777344" "1970-01-01 00:00:02.543458252" accounts.google.com HTTP/1.x-HTTP/2_null 1.85KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 41442 15 1 13 5 4588 7 0 0 0 1 1 3.126.67.130 443 13 0 13 6 5819 6 0 0 0 1 0 12775.01220703125 30337.64501953125 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@41442 "1970-01-01 00:00:12.775012207" "1970-01-01 00:00:30.337645020" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.48KB 5.68KB "0.00 kbits" "0.00 kbits"
192.168.84.55 41454 12 1 10 3 2680 6 0 0 0 1 1 3.126.67.130 443 11 0 11 7 390 3 0 0 0 1 0 14180.525390625 30337.6650390625 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@41454 "1970-01-01 00:00:14.180525391" "1970-01-01 00:00:30.337665039" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.62KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 41458 12 1 10 2 4515 7 0 0 0 1 1 3.126.67.130 443 13 0 13 8 421 4 0 0 0 1 0 16208.3251953125 30337.934326171875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@41458 "1970-01-01 00:00:16.208325195" "1970-01-01 00:00:30.337934326" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.41KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 33988 8 0 7 3 1798 3 0 0 0 1 1 142.250.185.100 443 8 0 8 4 5349 2 0 0 0 1 1 20700.094970703125 30857.83740234375 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@33988 "1970-01-01 00:00:20.700094971" "1970-01-01 00:00:30.857837402" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 5.22KB "0.00 kbits" "0.00 kbits"
192.168.84.55 48318 10 0 9 5 1821 3 0 0 0 1 1 162.247.241.14 443 9 0 9 4 4665 3 0 0 0 1 1 30268.54931640625 46978.658203125 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.241.14@443_192.168.84.55@48318 "1970-01-01 00:00:30.268549316" "1970-01-01 00:00:46.978658203" data.net HTTP/1.x-HTTP/2_null 1.78KB 4.56KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55216 12 0 11 7 1851 3 0 0 0 1 1 23.51.48.218 443 11 0 11 4 4197 5 0 0 0 1 1 33427.572265625 53093.2509765625 8192 time.akamai.com time.akamai.com 160 32 time.akamai.com - 23.51.48.218@443_192.168.84.55@55216 "1970-01-01 00:00:33.427572266" "1970-01-01 00:00:53.093250977" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x 1.81KB 4.10KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55212 12 0 11 7 1947 3 0 0 0 1 1 23.51.48.218 443 11 0 11 4 4197 5 0 0 0 1 1 33176.854248046875 53093.252197265625 8192 time.akamai.com time.akamai.com 160 32 time.akamai.com - 23.51.48.218@443_192.168.84.55@55212 "1970-01-01 00:00:33.176854248" "1970-01-01 00:00:53.093252197" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x 1.90KB 4.10KB "0.00 kbits" "0.00 kbits"
192.168.84.55 36474 12 0 11 7 1901 3 0 0 0 1 1 142.250.185.195 443 11 0 11 5 6724 4 0 0 0 1 1 2635.791015625 62998.184326171875 8192 update.googleapis.com - 160 0 update.googleapis.com - 142.250.185.195@443_192.168.84.55@36474 "1970-01-01 00:00:02.635791016" "1970-01-01 00:01:02.998184326" update.googleapis.com HTTP/1.x-HTTP/2_null 1.86KB 6.57KB "0.00 kbits" "0.00 kbits"
