c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 52592 74.125.143.84 443 702.06298828125 280.386 8 0 1899 3 0 0 0 1 0 7 0 6356 3 0 0 0 1 0 74.125.143.84@443_192.168.84.55@52592 982.44898828125 "1970-01-01 00:00:00.702062988" "1970-01-01 00:00:00.982448988" 1.85KB 6.21KB "0.05 kbits" "0.18 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 52772 142.250.185.100 443 577.84130859375 281.3 7 0 1798 3 0 0 0 1 0 6 0 5351 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@52772 859.14130859375 "1970-01-01 00:00:00.577841309" "1970-01-01 00:00:00.859141309" 1.76KB 5.23KB "0.05 kbits" "0.15 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 45626 172.217.16.195 443 459.02294921875 396.568 12 0 2349 7 0 0 0 1 0 15 0 7291 7 0 0 0 1 0 172.217.16.195@443_192.168.84.55@45626 855.59094921875 "1970-01-01 00:00:00.459022949" "1970-01-01 00:00:00.855590949" 2.29KB 7.12KB "0.05 kbits" "0.15 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 52772 142.250.185.100 443 2499.163330078125 48.964 2 1 0 0 0 0 0 0 1 2 0 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@52772 2548.127330078125 "1970-01-01 00:00:02.499163330" "1970-01-01 00:00:02.548127330" 0B 958.00B "0.00 kbits" "0.16 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 41588 142.250.186.110 443 2250.061279296875 298.092 10 0 1789 3 0 0 0 1 1 10 0 8249 4 0 0 0 1 1 142.250.186.110@443_192.168.84.55@41588 2548.153279296875 "1970-01-01 00:00:02.250061279" "1970-01-01 00:00:02.548153279" 1.75KB 8.06KB "0.05 kbits" "0.22 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 45626 172.217.16.195 443 2499.692138671875 51.674 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@45626 2551.366138671875 "1970-01-01 00:00:02.499692139" "1970-01-01 00:00:02.551366139" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 52592 74.125.143.84 443 2499.094970703125 55.531 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@52592 2554.625970703125 "1970-01-01 00:00:02.499094971" "1970-01-01 00:00:02.554625971" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 37190 18.66.196.72 443 11117.183349609375 999.704 75 0 9142 26 0 0 0 1 0 98 0 197870 76 0 0 0 1 0 18.66.196.72@443_192.168.84.55@37190 12116.887349609375 "1970-01-01 00:00:11.117183350" "1970-01-01 00:00:12.116887350" 8.93KB 193.23KB "0.07 kbits" "1.58 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 44220 108.157.188.90 443 11906.998291015625 556.855 14 0 4257 9 0 0 0 1 0 16 0 7001 6 0 0 0 1 0 108.157.188.90@443_192.168.84.55@44220 12463.853291015625 "1970-01-01 00:00:11.906998291" "1970-01-01 00:00:12.463853291" 4.16KB 6.84KB "0.06 kbits" "0.10 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 50268 108.139.243.86 443 13087.4501953125 999.381 71 0 10732 31 0 0 0 1 0 118 0 139864 90 0 0 0 1 0 108.139.243.86@443_192.168.84.55@50268 14086.8311953125 "1970-01-01 00:00:13.087450195" "1970-01-01 00:00:14.086831195" 10.48KB 136.59KB "0.09 kbits" "1.12 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 50488 151.101.242.49 443 13087.361328125 768.545 21 0 4246 16 0 0 0 1 0 26 0 7369 10 0 0 0 1 0 151.101.242.49@443_192.168.84.55@50488 13855.906328125 "1970-01-01 00:00:13.087361328" "1970-01-01 00:00:13.855906328" 4.15KB 7.20KB "0.04 kbits" "0.08 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 36596 3.67.218.2 443 13572.755126953125 313.695 14 0 4316 9 0 0 0 1 0 15 0 5088 5 0 0 0 1 0 3.67.218.2@443_192.168.84.55@36596 13886.450126953125 "1970-01-01 00:00:13.572755127" "1970-01-01 00:00:13.886450127" 4.21KB 4.97KB "0.11 kbits" "0.13 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 43062 162.247.241.14 443 12691.200927734375 747.238 51 0 58644 46 0 0 0 1 0 44 0 5745 4 0 0 0 1 0 162.247.241.14@443_192.168.84.55@43062 13438.438927734374 "1970-01-01 00:00:12.691200928" "1970-01-01 00:00:13.438438928" 57.27KB 5.61KB "0.63 kbits" "0.06 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 37190 18.66.196.72 443 12131.55224609375 603.897 63 0 11995 61 0 0 0 0 0 96 0 14296 31 0 0 0 0 0 18.66.196.72@443_192.168.84.55@37190 12735.44924609375 "1970-01-01 00:00:12.131552246" "1970-01-01 00:00:12.735449246" 11.71KB 13.96KB "0.16 kbits" "0.19 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 57440 151.101.241.91 443 11074.30712890625 260.162 12 0 2610 7 0 0 0 1 0 11 0 5478 4 0 0 0 1 0 151.101.241.91@443_192.168.84.55@57440 11334.46912890625 "1970-01-01 00:00:11.074307129" "1970-01-01 00:00:11.334469129" 2.55KB 5.35KB "0.08 kbits" "0.17 kbits" ohttp-relay-safebrowsing.fastly-edge.com HTTP/1.x-HTTP/2_null
192.168.84.55 43062 162.247.241.14 443 23039.84130859375 263.07 13 0 15635 12 0 0 0 0 0 12 0 422 1 0 0 0 0 0 162.247.241.14@443_192.168.84.55@43062 23302.91130859375 "1970-01-01 00:00:23.039841309" "1970-01-01 00:00:23.302911309" 15.27KB 422.00B "0.48 kbits" "0.01 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 36898 52.29.225.243 443 11549.4453125 300.796 17 0 2918 8 0 0 0 1 0 27 0 40802 18 0 0 0 1 0 52.29.225.243@443_192.168.84.55@36898 11850.2413125 "1970-01-01 00:00:11.549445312" "1970-01-01 00:00:11.850241313" 2.85KB 39.85KB "0.08 kbits" "1.09 kbits" core.indazn.com HTTP/1.x-HTTP/2_HTTP/2
