c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 48050 12 0 1819 3 0 0 0 1 1 142.250.185.170 443 11 0 6766 4 0 0 0 1 1 10612.990234375 71018.45629882812 8192 optimizationguide-pa.googleapis.com - 160 0 optimizationguide-pa.googleapis.com - 142.250.185.170@443_192.168.84.55@48050 "1970-01-01 00:00:10.612990234" "1970-01-01 00:01:11.018456299" pa.googleapis.com HTTP/1.x-HTTP/2_null 1.78KB 6.61KB "0.00 kbits" "0.00 kbits"
192.168.84.55 49616 11 0 1869 3 0 0 0 1 1 108.157.188.6 443 11 0 6198 4 0 0 0 1 1 12727.17724609375 73002.84619140625 8192 resource-strings.acc.indazn.com - 160 0 resource-strings.acc.indazn.com - 108.157.188.6@443_192.168.84.55@49616 "1970-01-01 00:00:12.727177246" "1970-01-01 00:01:13.002846191" acc.indazn.com HTTP/1.x-HTTP/2_null 1.83KB 6.05KB "0.00 kbits" "0.00 kbits"
192.168.84.55 50670 11 0 1818 3 0 0 0 1 1 108.157.188.80 443 11 0 6174 4 0 0 0 1 1 12788.901123046875 73002.8681640625 8192 cdn.dazn.com - 160 0 cdn.dazn.com - 108.157.188.80@443_192.168.84.55@50670 "1970-01-01 00:00:12.788901123" "1970-01-01 00:01:13.002868164" cdn.dazn.com HTTP/1.x-HTTP/2_null 1.78KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55668 11 0 1823 3 0 0 0 1 1 104.19.177.52 443 10 0 3791 3 0 0 0 1 1 12662.63623046875 73006.09912109375 8192 cdn.cookielaw.org - 160 0 cdn.cookielaw.org - 104.19.177.52@443_192.168.84.55@55668 "1970-01-01 00:00:12.662636230" "1970-01-01 00:01:13.006099121" cdn.cookielaw.org HTTP/1.x-HTTP/2_null 1.78KB 3.70KB "0.00 kbits" "0.00 kbits"
192.168.84.55 38532 11 0 1833 3 0 0 0 1 1 108.138.192.115 443 11 0 6250 4 0 0 0 1 1 12782.896240234375 73009.39526367188 8192 images.discovery.indazn.com - 160 0 images.discovery.indazn.com - 108.138.192.115@443_192.168.84.55@38532 "1970-01-01 00:00:12.782896240" "1970-01-01 00:01:13.009395264" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.79KB 6.10KB "0.00 kbits" "0.00 kbits"
192.168.84.55 39428 12 0 1807 3 0 0 0 1 1 18.66.196.29 443 12 0 6215 5 0 0 0 1 1 12703.870361328125 73013.35034179688 8192 content-item.discovery.indazn.com - 160 0 content-item.discovery.indazn.com - 18.66.196.29@443_192.168.84.55@39428 "1970-01-01 00:00:12.703870361" "1970-01-01 00:01:13.013350342" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.76KB 6.07KB "0.00 kbits" "0.00 kbits"
192.168.84.55 37204 11 0 1850 3 0 0 0 1 1 18.66.196.72 443 11 0 6223 4 0 0 0 1 1 12783.192138671875 73013.36694335938 8192 www.dazn.com - 160 0 www.dazn.com - 18.66.196.72@443_192.168.84.55@37204 "1970-01-01 00:00:12.783192139" "1970-01-01 00:01:13.013366943" www.dazn.com HTTP/1.x-HTTP/2_null 1.81KB 6.08KB "0.00 kbits" "0.00 kbits"
192.168.84.55 52788 11 0 1803 3 0 0 0 1 1 18.66.218.107 443 11 0 6179 4 0 0 0 1 1 12691.074951171875 73013.38134765625 8192 youth-protection.dazn-api.com - 160 0 youth-protection.dazn-api.com - 18.66.218.107@443_192.168.84.55@52788 "1970-01-01 00:00:12.691074951" "1970-01-01 00:01:13.013381348" protection.dazn-api.com HTTP/1.x-HTTP/2_null 1.76KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 51320 11 0 1791 3 0 0 0 1 1 108.157.186.76 443 11 0 6175 4 0 0 0 1 1 12811.34423828125 73019.158203125 8192 static.dazndn.com - 160 0 static.dazndn.com - 108.157.186.76@443_192.168.84.55@51320 "1970-01-01 00:00:12.811344238" "1970-01-01 00:01:13.019158203" static.dazndn.com HTTP/1.x-HTTP/2_null 1.75KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 37096 11 0 1801 3 0 0 0 1 1 13.226.175.6 443 11 0 6215 4 0 0 0 1 1 12714.999267578125 73019.17529296875 8192 search.discovery.indazn.com - 160 0 search.discovery.indazn.com - 13.226.175.6@443_192.168.84.55@37096 "1970-01-01 00:00:12.714999268" "1970-01-01 00:01:13.019175293" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.76KB 6.07KB "0.00 kbits" "0.00 kbits"
