c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 39578 108.177.96.84 443 644.597900390625 241.401 8 0 1867 3 0 0 0 1 0 7 0 6356 3 0 0 0 1 0 108.177.96.84@443_192.168.84.55@39578 885.9989003906251 "1970-01-01 00:00:00.644597900" "1970-01-01 00:00:00.885998900" 1.82KB 6.21KB "0.06 kbits" "0.21 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 57328 142.251.209.36 443 649.07470703125 167.422 7 0 1798 3 0 0 0 1 0 6 0 5350 2 0 0 0 1 0 142.251.209.36@443_192.168.84.55@57328 816.49670703125 "1970-01-01 00:00:00.649074707" "1970-01-01 00:00:00.816496707" 1.76KB 5.22KB "0.09 kbits" "0.26 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 47328 142.251.209.35 443 479.077880859375 266.771 13 0 2381 7 0 0 0 1 0 15 0 7294 7 0 0 0 1 0 142.251.209.35@443_192.168.84.55@47328 745.848880859375 "1970-01-01 00:00:00.479077881" "1970-01-01 00:00:00.745848881" 2.33KB 7.12KB "0.07 kbits" "0.22 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 57328 142.251.209.36 443 2496.204833984375 54.999 2 1 0 0 0 0 0 0 1 2 0 958 1 0 0 0 0 0 142.251.209.36@443_192.168.84.55@57328 2551.203833984375 "1970-01-01 00:00:02.496204834" "1970-01-01 00:00:02.551203834" 0B 958.00B "0.00 kbits" "0.14 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 47328 142.251.209.35 443 2496.805908203125 54.414 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 142.251.209.35@443_192.168.84.55@47328 2551.219908203125 "1970-01-01 00:00:02.496805908" "1970-01-01 00:00:02.551219908" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 54104 142.251.209.46 443 2239.897705078125 311.329 12 0 1821 3 0 0 0 1 1 12 0 8248 6 0 0 0 1 1 142.251.209.46@443_192.168.84.55@54104 2551.226705078125 "1970-01-01 00:00:02.239897705" "1970-01-01 00:00:02.551226705" 1.78KB 8.05KB "0.05 kbits" "0.21 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 39578 108.177.96.84 443 2496.10888671875 99.045 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 108.177.96.84@443_192.168.84.55@39578 2595.15388671875 "1970-01-01 00:00:02.496108887" "1970-01-01 00:00:02.595153887" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 60104 99.86.159.117 443 11160.010498046875 533.996 47 0 3874 7 0 0 0 1 0 87 0 194562 81 0 0 0 1 0 99.86.159.117@443_192.168.84.55@60104 11694.006498046874 "1970-01-01 00:00:11.160010498" "1970-01-01 00:00:11.694006498" 3.78KB 190.00KB "0.06 kbits" "2.91 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 59036 162.247.243.29 443 12758.70654296875 997.924 33 0 36040 29 0 0 0 1 0 20 0 4884 3 0 0 0 1 0 162.247.243.29@443_192.168.84.55@59036 13756.630542968749 "1970-01-01 00:00:12.758706543" "1970-01-01 00:00:13.756630543" 35.20KB 4.77KB "0.29 kbits" "0.04 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 55858 108.157.188.55 443 12656.6318359375 499.554 14 0 4193 9 0 0 0 1 0 16 0 7003 6 0 0 0 1 0 108.157.188.55@443_192.168.84.55@55858 13156.1858359375 "1970-01-01 00:00:12.656631836" "1970-01-01 00:00:13.156185836" 4.09KB 6.84KB "0.07 kbits" "0.11 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
