c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 8527 410.69873046875 0.0 47 1 19 192.168.84.198 53 647.71630859375 0.0 63 1 19 - - 192.168.84.198@53_192.168.84.55@8527 410.69873046875 647.71630859375 "1970-01-01 00:00:00.410698730" "1970-01-01 00:00:00.410698730" "1970-01-01 00:00:00.647716309" "1970-01-01 00:00:00.647716309"  DNS 47.00B 63.00B
192.168.84.55 4906 410.767578125 0.0 47 1 0 192.168.84.198 53 647.720703125 0.0 104 1 0 - - 192.168.84.198@53_192.168.84.55@4906 410.767578125 647.720703125 "1970-01-01 00:00:00.410767578" "1970-01-01 00:00:00.410767578" "1970-01-01 00:00:00.647720703" "1970-01-01 00:00:00.647720703"  UNKNOWN 47.00B 104.00B
192.168.84.55 20557 433.191650390625 0.0 37 1 19 192.168.84.198 53 647.724365234375 0.0 53 1 19 - - 192.168.84.198@53_192.168.84.55@20557 433.191650390625 647.724365234375 "1970-01-01 00:00:00.433191650" "1970-01-01 00:00:00.433191650" "1970-01-01 00:00:00.647724365" "1970-01-01 00:00:00.647724365"  DNS 37.00B 53.00B
192.168.84.55 34629 433.263671875 0.0 37 1 0 192.168.84.198 53 647.718505859375 0.0 87 1 0 - - 192.168.84.198@53_192.168.84.55@34629 433.263671875 647.718505859375 "1970-01-01 00:00:00.433263672" "1970-01-01 00:00:00.433263672" "1970-01-01 00:00:00.647718506" "1970-01-01 00:00:00.647718506"  UNKNOWN 37.00B 87.00B
192.168.84.55 42470 438.379638671875 3.001846 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.84.55@42470 441.381591796875 0.0 "1970-01-01 00:00:00.438379639" "1970-01-01 00:00:00.441381592" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.84.55 19812 454.126708984375 0.0 32 1 19 192.168.84.198 53 458.544677734375 0.0 48 1 19 - - 192.168.84.198@53_192.168.84.55@19812 454.126708984375 458.544677734375 "1970-01-01 00:00:00.454126708" "1970-01-01 00:00:00.454126708" "1970-01-01 00:00:00.458544678" "1970-01-01 00:00:00.458544678"  DNS 32.00B 48.00B
192.168.84.55 53325 454.1875 0.0 32 1 0 192.168.84.198 53 647.7197265625 0.0 57 1 0 - - 192.168.84.198@53_192.168.84.55@53325 454.1875 647.7197265625 "1970-01-01 00:00:00.454187500" "1970-01-01 00:00:00.454187500" "1970-01-01 00:00:00.647719727" "1970-01-01 00:00:00.647719727"  UNKNOWN 32.00B 57.00B
192.168.84.55 33651 465.364501953125 0.753328 7603 52 27 142.250.185.100 443 647.7216796875 0.649618 95936 87 27 www.google.com - 142.250.185.100@443_192.168.84.55@33651 466.117919921875 648.371337890625 "1970-01-01 00:00:00.465364502" "1970-01-01 00:00:00.466117920" "1970-01-01 00:00:00.647721680" "1970-01-01 00:00:00.648371338" www.google.com UDP_QUIC 7.42KB 93.69KB
192.168.84.55 50788 649.578369140625 0.56982 5043 16 27 74.125.143.84 443 803.69873046875 0.476788 12169 14 27 accounts.google.com accounts.google.com 74.125.143.84@443_192.168.84.55@50788 650.148193359375 804.175537109375 "1970-01-01 00:00:00.649578369" "1970-01-01 00:00:00.650148193" "1970-01-01 00:00:00.803698730" "1970-01-01 00:00:00.804175537" accounts.google.com UDP_QUIC 4.92KB 11.88KB
192.168.84.55 5353 2284.706298828125 3.001896 120 3 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.84.55@5353 2287.708251953125 0.0 "1970-01-01 00:00:02.284706299" "1970-01-01 00:00:02.287708252" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 120.00B 0B
192.168.84.55 31030 2285.880615234375 0.0 33 1 19 192.168.84.198 53 2346.030517578125 0.0 49 1 19 - - 192.168.84.198@53_192.168.84.55@31030 2285.880615234375 2346.030517578125 "1970-01-01 00:00:02.285880615" "1970-01-01 00:00:02.285880615" "1970-01-01 00:00:02.346030518" "1970-01-01 00:00:02.346030518"  DNS 33.00B 49.00B
192.168.84.55 21372 2285.95263671875 0.0 33 1 0 192.168.84.198 53 2349.2705078125 0.0 83 1 0 - - 192.168.84.198@53_192.168.84.55@21372 2285.95263671875 2349.2705078125 "1970-01-01 00:00:02.285952637" "1970-01-01 00:00:02.285952637" "1970-01-01 00:00:02.349270508" "1970-01-01 00:00:02.349270508"  UNKNOWN 33.00B 83.00B
192.168.84.55 39315 2286.734619140625 0.0 39 1 19 192.168.84.198 53 2349.267578125 0.0 55 1 19 - - 192.168.84.198@53_192.168.84.55@39315 2286.734619140625 2349.267578125 "1970-01-01 00:00:02.286734619" "1970-01-01 00:00:02.286734619" "1970-01-01 00:00:02.349267578" "1970-01-01 00:00:02.349267578"  DNS 39.00B 55.00B
192.168.84.55 50191 2286.800537109375 0.0 39 1 0 192.168.84.198 53 2349.266357421875 0.0 96 1 0 - - 192.168.84.198@53_192.168.84.55@50191 2286.800537109375 2349.266357421875 "1970-01-01 00:00:02.286800537" "1970-01-01 00:00:02.286800537" "1970-01-01 00:00:02.349266357" "1970-01-01 00:00:02.349266357"  UNKNOWN 39.00B 96.00B
192.168.84.55 46730 2349.75634765625 0.284818 5825 15 27 142.250.185.195 443 2425.337646484375 0.257822 9860 13 27 update.googleapis.com - 142.250.185.195@443_192.168.84.55@46730 2350.041259765625 2425.595458984375 "1970-01-01 00:00:02.349756348" "1970-01-01 00:00:02.350041260" "1970-01-01 00:00:02.425337646" "1970-01-01 00:00:02.425595459" update.googleapis.com UDP_QUIC 5.69KB 9.63KB
192.168.84.55 42183 2350.6806640625 0.229891 5916 13 27 142.250.186.110 443 2428.589599609375 0.197572 9434 13 27 play.google.com - 142.250.186.110@443_192.168.84.55@42183 2350.91064453125 2428.787109375 "1970-01-01 00:00:02.350680664" "1970-01-01 00:00:02.350910645" "1970-01-01 00:00:02.428589600" "1970-01-01 00:00:02.428787109" play.google.com UDP_QUIC 5.78KB 9.21KB
