c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 52352 74.125.143.84 443 808.273681640625 456.366 9 0 1867 3 0 0 0 1 0 8 0 6355 4 1 968 0 1 0 74.125.143.84@443_192.168.84.55@52352 1264.639681640625 "1970-01-01 00:00:00.808273682" "1970-01-01 00:00:01.264639682" 1.82KB 6.21KB "0.03 kbits" "0.11 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 58422 142.250.185.100 443 554.925537109375 350.259 7 0 1798 3 0 0 0 1 0 6 0 5351 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@58422 905.184537109375 "1970-01-01 00:00:00.554925537" "1970-01-01 00:00:00.905184537" 1.76KB 5.23KB "0.04 kbits" "0.12 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 48448 142.251.209.35 443 650.08349609375 567.442 15 0 2349 7 0 0 0 1 0 16 0 7294 9 0 0 0 1 0 142.251.209.35@443_192.168.84.55@48448 1217.52549609375 "1970-01-01 00:00:00.650083496" "1970-01-01 00:00:01.217525496" 2.29KB 7.12KB "0.03 kbits" "0.10 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 48448 142.251.209.35 443 2320.3603515625 40.169 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 142.251.209.35@443_192.168.84.55@48448 2360.5293515625 "1970-01-01 00:00:02.320360352" "1970-01-01 00:00:02.360529352" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 58422 142.250.185.100 443 2319.75830078125 50.086 2 1 0 0 0 0 0 0 1 2 0 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@58422 2369.84430078125 "1970-01-01 00:00:02.319758301" "1970-01-01 00:00:02.369844301" 0B 958.00B "0.00 kbits" "0.15 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 52352 74.125.143.84 443 2319.70849609375 61.206 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@52352 2380.91449609375 "1970-01-01 00:00:02.319708496" "1970-01-01 00:00:02.380914496" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 60348 108.139.243.60 443 11079.25830078125 360.338 37 0 3940 7 0 0 0 1 0 71 0 194679 66 0 0 0 1 0 108.139.243.60@443_192.168.84.55@60348 11439.59630078125 "1970-01-01 00:00:11.079258301" "1970-01-01 00:00:11.439596301" 3.85KB 190.12KB "0.09 kbits" "4.32 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37982 108.157.188.90 443 12113.507568359375 357.031 14 0 4193 9 0 0 0 1 0 16 0 7004 6 0 0 0 1 0 108.157.188.90@443_192.168.84.55@37982 12470.538568359376 "1970-01-01 00:00:12.113507568" "1970-01-01 00:00:12.470538568" 4.09KB 6.84KB "0.09 kbits" "0.16 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 46504 108.139.243.76 443 13185.043701171875 991.996 36 0 7490 22 0 0 0 1 0 41 0 21651 22 1 800 0 1 0 108.139.243.76@443_192.168.84.55@46504 14177.039701171874 "1970-01-01 00:00:13.185043701" "1970-01-01 00:00:14.177039701" 7.31KB 21.14KB "0.06 kbits" "0.17 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 47000 151.101.242.49 443 13195.04150390625 865.118 26 0 4278 16 0 0 0 1 0 29 0 7339 13 1 714 0 1 0 151.101.242.49@443_192.168.84.55@47000 14060.15950390625 "1970-01-01 00:00:13.195041504" "1970-01-01 00:00:14.060159504" 4.18KB 7.17KB "0.04 kbits" "0.07 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 54546 18.159.66.253 443 14038.2236328125 823.571 16 0 4355 10 0 0 0 1 0 19 0 7847 8 0 0 0 1 0 18.159.66.253@443_192.168.84.55@54546 14861.7946328125 "1970-01-01 00:00:14.038223633" "1970-01-01 00:00:14.861794633" 4.25KB 7.66KB "0.04 kbits" "0.08 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37074 3.75.98.239 443 13768.91064453125 431.35 15 0 4347 10 1 385 0 1 0 16 0 5087 5 0 0 0 1 0 3.75.98.239@443_192.168.84.55@37074 14200.26064453125 "1970-01-01 00:00:13.768910645" "1970-01-01 00:00:14.200260645" 4.25KB 4.97KB "0.08 kbits" "0.09 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 36682 162.247.243.29 443 12686.84765625 685.15 52 0 58625 46 0 0 0 1 0 45 0 5168 4 0 0 0 1 0 162.247.243.29@443_192.168.84.55@36682 13371.99765625 "1970-01-01 00:00:12.686847656" "1970-01-01 00:00:13.371997656" 57.25KB 5.05KB "0.68 kbits" "0.06 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 47248 34.225.238.237 443 25897.7236328125 666.729 21 0 7074 11 0 0 0 1 0 26 0 11577 14 0 0 0 1 0 34.225.238.237@443_192.168.84.55@47248 26564.4526328125 "1970-01-01 00:00:25.897723633" "1970-01-01 00:00:26.564452633" 6.91KB 11.31KB "0.08 kbits" "0.14 kbits" hpn.ghostery.net HTTP/1.x-HTTP/2_null
192.168.84.55 47248 34.225.238.237 443 27806.358642578125 886.797 7 0 2450 4 0 0 0 0 0 7 0 204 3 0 0 0 0 0 34.225.238.237@443_192.168.84.55@47248 28693.155642578124 "1970-01-01 00:00:27.806358643" "1970-01-01 00:00:28.693155643" 2.39KB 204.00B "0.02 kbits" "0.00 kbits" hpn.ghostery.net HTTP/1.x-HTTP/2_null
