c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 48448 17 0 16 8 2349 7 0 0 0 1 1 142.251.209.35 443 18 0 18 7 7294 9 0 0 0 1 1 650.08349609375 2360.529541015625 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 142.251.209.35@443_192.168.84.55@48448 "1970-01-01 00:00:00.650083496" "1970-01-01 00:00:02.360529541" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.29KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 58422 9 1 7 3 1798 3 0 0 0 1 1 142.250.185.100 443 8 0 8 4 6309 3 0 0 0 1 0 554.925537109375 2369.8447265625 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@58422 "1970-01-01 00:00:00.554925537" "1970-01-01 00:00:02.369844727" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 52352 11 0 10 6 1867 3 0 0 0 1 1 74.125.143.84 443 10 0 10 4 6355 4 1 968 0 1 1 808.273681640625 2380.914306640625 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@52352 "1970-01-01 00:00:00.808273682" "1970-01-01 00:00:02.380914307" accounts.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 55326 12 1 10 2 2680 6 1 0 0 1 2 18.158.216.90 443 12 0 12 7 421 4 0 0 0 1 0 13907.299560546875 30303.584716796875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.158.216.90@443_192.168.84.55@55326 "1970-01-01 00:00:13.907299561" "1970-01-01 00:00:30.303584717" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.62KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 55318 16 1 14 5 4524 7 1 0 0 1 2 18.158.216.90 443 16 0 16 8 5850 7 0 0 0 1 0 12668.3115234375 30303.750732421875 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 18.158.216.90@443_192.168.84.55@55318 "1970-01-01 00:00:12.668311523" "1970-01-01 00:00:30.303750732" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.71KB "0.00 kbits" "0.00 kbits"
192.168.84.55 42898 14 1 12 3 4579 7 1 0 0 1 2 18.158.216.90 443 12 0 12 8 390 3 0 0 0 1 0 16217.3955078125 30309.8486328125 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.158.216.90@443_192.168.84.55@42898 "1970-01-01 00:00:16.217395508" "1970-01-01 00:00:30.309848633" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.47KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 36682 74 0 73 8 78494 64 1 307 0 1 1 162.247.243.29 443 65 0 65 56 6400 7 0 0 0 1 1 12686.84765625 30517.57666015625 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@36682 "1970-01-01 00:00:12.686847656" "1970-01-01 00:00:30.517576660" data.net HTTP/1.x-HTTP/2_null 76.65KB 6.25KB "0.04 kbits" "0.00 kbits"
192.168.84.55 35586 9 0 8 4 1893 3 0 0 0 1 1 142.250.180.131 443 8 0 8 4 5356 2 0 0 0 1 1 20610.478515625 30957.44873046875 8192 www.google.it - 160 0 www.google.it - 142.250.180.131@443_192.168.84.55@35586 "1970-01-01 00:00:20.610478516" "1970-01-01 00:00:30.957448730" www.google.it HTTP/1.x-HTTP/2_null 1.85KB 5.23KB "0.00 kbits" "0.00 kbits"
192.168.84.55 47922 13 1 11 6 2483 4 0 0 0 1 1 23.51.48.218 443 11 0 11 3 4673 6 2 1388 0 2 0 32958.385498046875 33829.885498046875 8192 time.akamai.com time.akamai.com 160 32 time.akamai.com - 23.51.48.218@443_192.168.84.55@47922 "1970-01-01 00:00:32.958385498" "1970-01-01 00:00:33.829885498" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x 2.42KB 4.56KB "0.02 kbits" "0.04 kbits"
192.168.84.55 45922 11 0 10 6 1837 3 0 0 0 1 1 142.250.185.195 443 10 0 10 5 6725 3 0 0 0 1 1 2472.32958984375 62877.1455078125 8192 update.googleapis.com - 160 0 update.googleapis.com - 142.250.185.195@443_192.168.84.55@45922 "1970-01-01 00:00:02.472329590" "1970-01-01 00:01:02.877145508" update.googleapis.com HTTP/1.x-HTTP/2_null 1.79KB 6.57KB "0.00 kbits" "0.00 kbits"
192.168.84.55 51148 12 0 11 7 1851 3 0 0 0 1 1 142.250.185.138 443 11 0 11 5 6766 4 0 0 0 1 1 10444.3486328125 70960.50561523438 8192 optimizationguide-pa.googleapis.com - 160 0 optimizationguide-pa.googleapis.com - 142.250.185.138@443_192.168.84.55@51148 "1970-01-01 00:00:10.444348633" "1970-01-01 00:01:10.960505615" pa.googleapis.com HTTP/1.x-HTTP/2_null 1.81KB 6.61KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55996 11 0 10 6 1791 3 0 0 0 1 1 104.19.178.52 443 10 0 10 5 3790 3 0 0 0 1 1 12673.003662109375 72891.31469726562 8192 cdn.cookielaw.org - 160 0 cdn.cookielaw.org - 104.19.178.52@443_192.168.84.55@55996 "1970-01-01 00:00:12.673003662" "1970-01-01 00:01:12.891314697" cdn.cookielaw.org HTTP/1.x-HTTP/2_null 1.75KB 3.70KB "0.00 kbits" "0.00 kbits"
192.168.84.55 60842 12 0 11 7 1901 3 0 0 0 1 1 108.157.188.6 443 12 0 12 5 6198 5 0 0 0 1 1 12770.091552734375 72978.97265625 8192 resource-strings.acc.indazn.com - 160 0 resource-strings.acc.indazn.com - 108.157.188.6@443_192.168.84.55@60842 "1970-01-01 00:00:12.770091553" "1970-01-01 00:01:12.978972656" acc.indazn.com HTTP/1.x-HTTP/2_null 1.86KB 6.05KB "0.00 kbits" "0.00 kbits"
192.168.84.55 50702 12 0 11 7 1865 3 0 0 0 1 1 13.226.175.6 443 12 0 12 5 6215 5 0 0 0 1 1 12817.849609375 72978.98461914062 8192 search.discovery.indazn.com - 160 0 search.discovery.indazn.com - 13.226.175.6@443_192.168.84.55@50702 "1970-01-01 00:00:12.817849609" "1970-01-01 00:01:12.978984619" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.82KB 6.07KB "0.00 kbits" "0.00 kbits"
192.168.84.55 37158 11 0 10 6 1867 3 0 0 0 1 1 18.66.218.107 443 11 0 11 5 6179 4 0 0 0 1 1 12770.25634765625 72978.98852539062 8192 youth-protection.dazn-api.com - 160 0 youth-protection.dazn-api.com - 18.66.218.107@443_192.168.84.55@37158 "1970-01-01 00:00:12.770256348" "1970-01-01 00:01:12.978988525" protection.dazn-api.com HTTP/1.x-HTTP/2_null 1.82KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 33150 11 0 10 6 1786 3 0 0 0 1 1 108.157.188.43 443 11 0 11 5 6174 4 0 0 0 1 1 12886.3076171875 74896.81762695312 8192 cdn.dazn.com - 160 0 cdn.dazn.com - 108.157.188.43@443_192.168.84.55@33150 "1970-01-01 00:00:12.886307617" "1970-01-01 00:01:14.896817627" cdn.dazn.com HTTP/1.x-HTTP/2_null 1.74KB 6.03KB "0.00 kbits" "0.00 kbits"
192.168.84.55 45618 11 0 10 6 1871 3 0 0 0 1 1 18.66.196.25 443 11 0 11 5 6215 4 0 0 0 1 1 12821.3037109375 74896.83471679688 8192 content-item.discovery.indazn.com - 160 0 content-item.discovery.indazn.com - 18.66.196.25@443_192.168.84.55@45618 "1970-01-01 00:00:12.821303711" "1970-01-01 00:01:14.896834717" discovery.indazn.com HTTP/1.x-HTTP/2_null 1.83KB 6.07KB "0.00 kbits" "0.00 kbits"
192.168.84.55 48398 13 0 12 8 1887 3 0 0 0 1 1 108.157.186.76 443 13 0 13 5 6175 6 0 0 0 1 1 12979.542724609375 74896.84350585938 8192 static.dazndn.com - 160 0 static.dazndn.com - 108.157.186.76@443_192.168.84.55@48398 "1970-01-01 00:00:12.979542725" "1970-01-01 00:01:14.896843506" static.dazndn.com HTTP/1.x-HTTP/2_null 1.84KB 6.03KB "0.00 kbits" "0.00 kbits"
