action now from
origin 1717823593782.5996 0.0
sniffer-on 1717823593798.481 15.88134765625
sky-on 1717823594168.0266 385.427001953125
skysportuno-on 1717823637605.3115 43822.7119140625
skysportuno-off 1717823700053.996 106271.396484375
skysportcalcio-on 1717823711914.8325 118132.23266601562
skysportcalcio-off 1717823774361.3015 180578.70190429688
skysporttennis-on 1717823786164.7368 192382.13720703125
skysporttennis-off 1717823848606.724 254824.12426757807
skysportmax-on 1717823860409.6155 266627.01611328125
skysportmax-off 1717823922865.957 329083.357421875
skysportgolf-on 1717823934657.7764 340875.1767578125
skysportgolf-off 1717823997107.7642 403325.1645507813
skysportf1-on 1717824008942.4285 415159.8288574219
skysportf1-off 1717824071398.1233 477615.5236816406
sky-off 1717824081500.0112 487717.41162109375
sniffer-off 1717824101498.798 507716.1982421875
