action unix_ts from_origin_ts
origin 1722154187245.8103 0.00341796875
net-starts 1722154187246.42 0.613037109375
app-starts 1722154187246.6694 0.862548828125
eurosport1-starts 1722154217240.791 29994.984130859375
eurosport1-stops 1722154417240.8218 229995.01489257812
eurosport2-starts 1722154437191.9832 249946.17626953125
eurosport2-stops 1722154637192.0261 449946.21923828125
app-stops 1722154649824.102 462578.2951660156
net-stops 1722154679896.0122 492650.2053222656
