c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 54550 6 1 4 1 1789 2 0 0 0 1 1 142.250.186.110 443 5 0 5 3 1388 1 0 0 0 1 0 2348.48974609375 2519.881591796875 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@54550 "1970-01-01 00:00:02.348489746" "1970-01-01 00:00:02.519881592" play.google.com HTTP/1.x-HTTP/2_null 1.75KB 1.36KB "0.08 kbits" "0.06 kbits"
192.168.84.55 58448 10 1 8 4 1862 3 0 0 0 1 1 142.251.209.36 443 9 0 9 4 6308 4 0 0 0 1 0 523.640380859375 2529.645751953125 8192 www.google.com - 160 0 www.google.com - 142.251.209.36@443_192.168.84.55@58448 "1970-01-01 00:00:00.523640381" "1970-01-01 00:00:02.529645752" www.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 38900 15 0 14 6 2413 7 0 0 0 1 1 172.217.16.195 443 16 0 16 8 7292 6 0 0 0 1 1 773.900390625 2540.994384765625 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@38900 "1970-01-01 00:00:00.773900391" "1970-01-01 00:00:02.540994385" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.36KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 39474 10 0 9 5 1899 3 0 0 0 1 1 74.125.143.84 443 9 0 9 4 6357 3 0 0 0 1 1 914.9248046875 2548.431640625 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@39474 "1970-01-01 00:00:00.914924805" "1970-01-01 00:00:02.548431641" accounts.google.com HTTP/1.x-HTTP/2_null 1.85KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 46818 15 1 13 5 4524 7 0 0 0 1 1 3.127.124.21 443 14 0 14 7 5819 6 0 0 0 1 0 12673.1923828125 30292.96044921875 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.127.124.21@443_192.168.84.55@46818 "1970-01-01 00:00:12.673192383" "1970-01-01 00:00:30.292960449" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.68KB "0.00 kbits" "0.00 kbits"
192.168.84.55 46822 12 1 10 3 2776 6 0 0 0 1 1 3.127.124.21 443 11 0 11 7 390 3 0 0 0 1 0 14074.53271484375 30300.603759765625 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.127.124.21@443_192.168.84.55@46822 "1970-01-01 00:00:14.074532715" "1970-01-01 00:00:30.300603760" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.71KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 58074 13 1 11 3 4611 7 0 0 0 1 1 3.127.124.21 443 12 0 12 8 390 3 0 0 0 1 0 16316.49560546875 30300.62158203125 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.127.124.21@443_192.168.84.55@58074 "1970-01-01 00:00:16.316495605" "1970-01-01 00:00:30.300621582" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.50KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 36240 10 0 9 5 1862 3 0 0 0 1 1 142.250.185.100 443 9 0 9 4 5350 3 0 0 0 1 1 20362.714599609375 30608.763671875 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@36240 "1970-01-01 00:00:20.362714600" "1970-01-01 00:00:30.608763672" www.google.com HTTP/1.x-HTTP/2_null 1.82KB 5.22KB "0.00 kbits" "0.00 kbits"
192.168.84.55 38678 10 0 9 5 1893 3 0 0 0 1 1 216.58.206.35 443 8 0 8 3 5356 3 0 0 0 1 1 20459.298583984375 30998.977783203125 8192 www.google.it - 160 0 www.google.it - 216.58.206.35@443_192.168.84.55@38678 "1970-01-01 00:00:20.459298584" "1970-01-01 00:00:30.998977783" www.google.it HTTP/1.x-HTTP/2_null 1.85KB 5.23KB "0.00 kbits" "0.00 kbits"
192.168.84.55 33508 12 0 11 7 1898 3 0 0 0 1 1 91.81.129.236 443 12 0 12 4 4024 6 0 0 0 1 1 33026.62060546875 39059.554443359375 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@33508 "1970-01-01 00:00:33.026620605" "1970-01-01 00:00:39.059554443" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 1.85KB 3.93KB "0.00 kbits" "0.01 kbits"
