c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 39474 74.125.143.84 443 914.9248046875 269.518 8 0 1899 3 0 0 0 1 0 7 0 6357 3 0 0 0 1 0 74.125.143.84@443_192.168.84.55@39474 1184.4428046875 "1970-01-01 00:00:00.914924805" "1970-01-01 00:00:01.184442805" 1.85KB 6.21KB "0.06 kbits" "0.19 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 58448 142.251.209.36 443 523.640380859375 392.069 8 0 1862 3 0 0 0 1 0 7 0 5350 3 0 0 0 1 0 142.251.209.36@443_192.168.84.55@58448 915.709380859375 "1970-01-01 00:00:00.523640381" "1970-01-01 00:00:00.915709381" 1.82KB 5.22KB "0.04 kbits" "0.11 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 38900 172.217.16.195 443 773.900390625 314.819 13 0 2413 7 0 0 0 1 0 14 0 7292 6 0 0 0 1 0 172.217.16.195@443_192.168.84.55@38900 1088.719390625 "1970-01-01 00:00:00.773900391" "1970-01-01 00:00:01.088719391" 2.36KB 7.12KB "0.06 kbits" "0.19 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 54550 142.250.186.110 443 2348.48974609375 171.392 6 1 1789 2 0 0 0 1 1 5 0 1388 1 0 0 0 1 0 142.250.186.110@443_192.168.84.55@54550 2519.88174609375 "1970-01-01 00:00:02.348489746" "1970-01-01 00:00:02.519881746" 1.75KB 1.36KB "0.08 kbits" "0.06 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 58448 142.251.209.36 443 2487.2255859375 42.42 2 1 0 0 0 0 0 0 1 2 0 958 1 0 0 0 0 0 142.251.209.36@443_192.168.84.55@58448 2529.6455859375 "1970-01-01 00:00:02.487225586" "1970-01-01 00:00:02.529645586" 0B 958.00B "0.00 kbits" "0.18 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 38900 172.217.16.195 443 2487.8037109375 53.191 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@38900 2540.9947109375 "1970-01-01 00:00:02.487803711" "1970-01-01 00:00:02.540994711" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 39474 74.125.143.84 443 2487.12060546875 61.311 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@39474 2548.43160546875 "1970-01-01 00:00:02.487120605" "1970-01-01 00:00:02.548431605" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 58206 108.139.243.81 443 11068.98779296875 997.104 37 0 4186 8 0 0 0 1 0 69 0 194601 62 0 0 0 1 0 108.139.243.81@443_192.168.84.55@58206 12066.09179296875 "1970-01-01 00:00:11.068987793" "1970-01-01 00:00:12.066091793" 4.09KB 190.04KB "0.03 kbits" "1.56 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 35082 108.157.188.19 443 11961.9296875 354.348 14 0 4226 9 0 0 0 1 0 16 0 7004 6 0 0 0 1 0 108.157.188.19@443_192.168.84.55@35082 12316.2776875 "1970-01-01 00:00:11.961929688" "1970-01-01 00:00:12.316277687" 4.13KB 6.84KB "0.10 kbits" "0.16 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 51192 108.139.243.76 443 13131.65380859375 999.094 33 0 7152 22 0 0 0 1 0 38 0 40558 26 0 0 0 1 0 108.139.243.76@443_192.168.84.55@51192 14130.747808593751 "1970-01-01 00:00:13.131653809" "1970-01-01 00:00:14.130747809" 6.98KB 39.61KB "0.06 kbits" "0.32 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 48186 151.101.242.49 443 13207.798583984375 888.769 22 0 4278 17 0 0 0 1 0 29 0 7339 11 0 0 0 1 0 151.101.242.49@443_192.168.84.55@48186 14096.567583984375 "1970-01-01 00:00:13.207798584" "1970-01-01 00:00:14.096567584" 4.18KB 7.17KB "0.04 kbits" "0.07 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 48920 52.29.231.145 443 14100.36767578125 987.784 16 0 4324 10 0 0 0 1 0 21 0 8545 10 0 0 0 1 0 52.29.231.145@443_192.168.84.55@48920 15088.15167578125 "1970-01-01 00:00:14.100367676" "1970-01-01 00:00:15.088151676" 4.22KB 8.34KB "0.04 kbits" "0.07 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 54646 3.75.98.239 443 13793.20458984375 415.224 15 0 4316 9 0 0 0 1 0 15 0 5087 5 0 0 0 1 0 3.75.98.239@443_192.168.84.55@54646 14208.42858984375 "1970-01-01 00:00:13.793204590" "1970-01-01 00:00:14.208428590" 4.21KB 4.97KB "0.08 kbits" "0.10 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 58086 162.247.243.29 443 12676.589599609375 743.393 52 0 58702 46 0 0 0 1 0 48 0 5168 4 0 0 0 1 0 162.247.243.29@443_192.168.84.55@58086 13419.982599609375 "1970-01-01 00:00:12.676589600" "1970-01-01 00:00:13.419982600" 57.33KB 5.05KB "0.63 kbits" "0.06 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 58206 108.139.243.81 443 12085.680419921875 703.77 70 0 16873 63 1 136 0 0 0 90 0 16583 36 0 0 0 0 0 108.139.243.81@443_192.168.84.55@58206 12789.450419921875 "1970-01-01 00:00:12.085680420" "1970-01-01 00:00:12.789450420" 16.48KB 16.19KB "0.19 kbits" "0.19 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 42150 151.101.241.91 443 11118.346435546875 370.102 11 0 2578 6 0 0 0 1 0 11 0 5479 4 0 0 0 1 0 151.101.241.91@443_192.168.84.55@42150 11488.448435546876 "1970-01-01 00:00:11.118346436" "1970-01-01 00:00:11.488448436" 2.52KB 5.35KB "0.06 kbits" "0.12 kbits" ohttp-relay-safebrowsing.fastly-edge.com HTTP/1.x-HTTP/2_null
192.168.84.55 58086 162.247.243.29 443 23079.444580078125 224.137 13 0 15455 12 0 0 0 0 0 13 0 375 1 0 0 0 0 0 162.247.243.29@443_192.168.84.55@58086 23303.581580078124 "1970-01-01 00:00:23.079444580" "1970-01-01 00:00:23.303581580" 15.09KB 375.00B "0.55 kbits" "0.01 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 46818 3.127.124.21 443 12673.1923828125 497.052 12 0 4487 6 0 0 0 1 0 11 0 5786 5 0 0 0 1 0 3.127.124.21@443_192.168.84.55@46818 13170.2443828125 "1970-01-01 00:00:12.673192383" "1970-01-01 00:00:13.170244383" 4.38KB 5.65KB "0.07 kbits" "0.09 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 46822 3.127.124.21 443 14074.53271484375 793.769 9 0 2739 5 0 0 0 1 0 8 0 357 2 0 0 0 1 0 3.127.124.21@443_192.168.84.55@46822 14868.30171484375 "1970-01-01 00:00:14.074532715" "1970-01-01 00:00:14.868301715" 2.67KB 357.00B "0.03 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 58074 3.127.124.21 443 16316.49560546875 357.273 10 0 4574 6 0 0 0 1 0 9 0 357 2 0 0 0 1 0 3.127.124.21@443_192.168.84.55@58074 16673.76860546875 "1970-01-01 00:00:16.316495605" "1970-01-01 00:00:16.673768605" 4.47KB 357.00B "0.10 kbits" "0.01 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
