c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts ts te protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname id token proto
192.168.166.55 51540 13 0 12 6 1901 5 0 0 0 1 1 23.40.157.96 443 14 1 13 2 15719 9 0 0 0 1 1 7277.0380859375 7561.68505859375 8192 desktop.client.ott.sky.com ott.sky.com 1 10 desktop.client.ott.sky.com - 192.168.166.55#51540#23.40.157.96#443 ott.sky.com "['spdy (*)']#['http/1.x', 'http/2']"
192.168.166.55 51541 8 0 7 2 1778 4 0 0 0 1 1 23.40.157.96 443 9 1 8 2 3616 4 0 0 0 1 1 9560.207763671875 9707.462158203125 8192 desktop.client.ott.sky.com - 1 10 desktop.client.ott.sky.com - 192.168.166.55#51541#23.40.157.96#443 ott.sky.com "['spdy (*)']#['http/1.x', 'http/2']"
192.168.166.55 51542 9 0 8 3 756 4 0 0 0 1 1 23.50.158.231 443 9 1 8 1 4580 5 0 0 0 1 1 12096.68310546875 12292.361083984375 8192 desktopclient.ott.sky.com intlott.sky.com 1 2 desktopclient.ott.sky.com - 192.168.166.55#51542#23.50.158.231#443 ott.sky.com "['spdy (*)']#['http/1.x']"
192.168.166.55 51544 9 0 8 4 1326 3 0 0 0 1 1 23.52.38.143 443 11 1 10 1 5914 7 0 0 0 1 1 13480.2998046875 13646.873779296875 8192 p.sky.com go.sky.com 160 32 p.sky.com - 192.168.166.55#51544#23.52.38.143#443 p.sky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.166.55 51545 7 0 6 2 905 3 0 0 0 1 1 23.50.158.231 443 7 1 6 1 1032 3 0 0 0 1 1 13618.39013671875 13790.463134765625 8192 desktopclient.ott.sky.com - 1 2 desktopclient.ott.sky.com - 192.168.166.55#51545#23.50.158.231#443 ott.sky.com "['spdy (*)']#['http/1.x']"
192.168.166.55 51558 9 1 8 5 207 1 0 0 0 1 1 23.40.157.96 443 9 0 9 1 11499 7 0 0 0 1 0 17019.6591796875 17162.578125 8192 atlantis.epgsky.com ott.sky.com 160 32 atlantis.epgsky.com - 192.168.166.55#51558#23.40.157.96#443 atlantis.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.166.55 51555 12 0 11 3 8916 8 0 0 0 1 0 185.26.140.126 443 9 1 9 4 3157 3 0 0 0 1 0 14010.385009765625 19395.769775390625 1 - - 0 0 pskyq-drm-sgw.skycdn.it - 192.168.166.55#51555#185.26.140.126#443 drm-sgw.skycdn.it HTTP
192.168.166.55 51582 6 1 5 1 568 2 0 0 0 1 1 23.214.205.236 443 6 0 6 2 183 2 0 0 0 1 1 18607.427978515625 35092.677001953125 8192 cdn.skyq.sky.com - 160 32 cdn.skyq.sky.com - 192.168.166.55#51582#23.214.205.236#443 skyq.sky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.166.55 51585 9 0 8 3 1329 4 0 0 0 1 1 23.52.38.143 443 10 1 9 2 5436 5 0 0 0 1 1 35963.18310546875 36173.55908203125 8192 p.sky.com go.sky.com 1 2 p.sky.com - 192.168.166.55#51585#23.52.38.143#443 p.sky.com "['spdy (*)']#['http/1.x']"
192.168.166.55 51587 7 1 6 2 300 2 0 0 0 1 1 63.140.62.27 443 7 0 7 1 4206 4 0 0 0 1 1 36150.6171875 36320.337158203125 8192 bskyb.hb.omtrdc.net *.hb.omtrdc.net 160 128 bskyb.hb.omtrdc.net - 192.168.166.55#51587#63.140.62.27#443 hb.omtrdc.net "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51608 22 0 21 7 6392 14 0 0 0 1 0 52.223.29.147 443 27 1 26 13 6526 12 0 0 0 1 0 39341.677001953125 69112.619140625 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 192.168.166.55#51608#52.223.29.147#443 italy.scorecardresearch.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51573 30 1 29 13 6823 14 0 0 0 1 1 63.140.62.17 443 25 0 25 8 5906 15 0 0 0 1 1 18229.467041015625 74160.72998046875 8192 smetrics.sky.com smetrics.sky.com 160 128 smetrics.sky.com - 192.168.166.55#51573#63.140.62.17#443 smetrics.sky.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51605 5333 1 5332 5309 5008 21 0 0 0 1 1 101.62.202.209 443 6113 0 6113 22 18514210 6090 1 1400 0 1 0 38099.051025390625 94831.48901367188 8192 linear311-it-hls1-prd-akp1.cdn13.skycdp.com ak-star.cdn13.skycdp.com 33 32 linear311-it-hls1-prd-akp1.cdn13.skycdp.com - 192.168.166.55#51605#101.62.202.209#443 cdn#.skycdp.com "['spdy (*)', 'http/1.x']#['http/1.x']"
192.168.166.55 51607 622 1 621 602 4052 17 0 0 0 1 1 101.62.202.209 443 712 0 712 18 1979183 693 1 1400 0 1 0 38275.791015625 94831.56982421875 8192 linear311-it-hls1-prd-akp1.cdn13.skycdp.com ak-star.cdn13.skycdp.com 33 32 linear311-it-hls1-prd-akp1.cdn13.skycdp.com - 192.168.166.55#51607#101.62.202.209#443 cdn#.skycdp.com "['spdy (*)', 'http/1.x']#['http/1.x']"
192.168.166.55 51603 12 0 11 6 893 4 0 0 0 1 1 185.26.141.74 443 14 0 14 5 9650 7 0 0 0 1 1 36832.203125 94843.455078125 8192 linear311-it-hls1-prd.selector.skycdn.it selector.ott.skycdn.it 33 0 linear311-it-hls1-prd.selector.skycdn.it - 192.168.166.55#51603#185.26.141.74#443 selector.skycdn.it "['spdy (*)', 'http/1.x']#None"
192.168.166.55 51611 8 0 7 3 1474 3 0 0 0 1 1 23.52.38.143 443 9 1 8 2 1500 3 1 0 0 2 1 104618.47607421875 104823.96508789062 8192 p.sky.com - 1 2 p.sky.com - 192.168.166.55#51611#23.52.38.143#443 p.sky.com "['spdy (*)']#['http/1.x']"
192.168.166.55 51609 23 0 22 7 6656 14 0 0 0 1 1 52.223.29.147 443 26 0 26 12 1781 11 1 0 0 1 2 69113.61596679688 105272.17700195312 8192 italy.scorecardresearch.com - 160 128 italy.scorecardresearch.com - 192.168.166.55#51609#52.223.29.147#443 italy.scorecardresearch.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51600 18 1 17 3 7815 7 5 0 0 1 6 176.255.176.100 443 11 0 11 7 4352 3 0 0 0 1 0 36324.603759765625 123676.16918945312 1 - - 0 0 ott-sgwl.skyanywhere.com - 192.168.166.55#51600#176.255.176.100#443 sgwl.skyanywhere.com HTTP
192.168.166.55 51631 20 0 19 6 5265 12 0 0 0 1 1 52.223.29.147 443 24 0 24 12 6166 9 1 0 0 1 2 106529.17700195312 126771.27514648438 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 192.168.166.55#51631#52.223.29.147#443 italy.scorecardresearch.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51581 121 0 120 103 1810 16 2 2 0 1 1 2.22.32.177 443 134 0 134 5 237885 126 1 0 0 2 1 18602.574951171875 139014.80102539062 8192 it.imageservice.sky.com cp.sky.com 160 128 it.imageservice.sky.com - 192.168.166.55#51581#2.22.32.177#443 imageservice.sky.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51610 24 1 23 9 6357 12 0 0 0 1 1 63.140.62.17 443 21 0 21 6 5573 13 0 0 0 1 1 93899.26782226562 141586.01977539062 8192 smetrics.sky.com smetrics.sky.com 160 128 bskyb.hb.omtrdc.net - 192.168.166.55#51610#63.140.62.17#443 smetrics.sky.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51632 21 0 20 7 5327 12 0 0 0 1 1 52.223.29.147 443 25 0 25 12 6166 10 1 0 0 1 2 136491.55908203125 156773.62109375 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 192.168.166.55#51632#52.223.29.147#443 italy.scorecardresearch.com "['http/1.x', 'http/2']#['http/2']"
192.168.166.55 51630 710 1 709 688 4534 19 0 0 0 1 1 101.62.202.203 443 850 0 850 20 2117156 829 1 1400 0 1 0 105665.91015625 167854.82177734375 8192 linear312-it-hls1-prd-akp1.cdn13.skycdp.com ak-star.cdn13.skycdp.com 33 32 linear312-it-hls1-prd-akp1.cdn13.skycdp.com - 192.168.166.55#51630#101.62.202.203#443 cdn#.skycdp.com "['spdy (*)', 'http/1.x']#['http/1.x']"
192.168.166.55 51628 7147 1 7146 7124 4773 20 0 0 0 1 1 101.62.202.203 443 7981 0 7981 21 22488653 7959 1 1400 0 1 0 105490.77416992188 167854.90307617188 8192 linear312-it-hls1-prd-akp1.cdn13.skycdp.com ak-star.cdn13.skycdp.com 33 32 linear312-it-hls1-prd-akp1.cdn13.skycdp.com - 192.168.166.55#51628#101.62.202.203#443 cdn#.skycdp.com "['spdy (*)', 'http/1.x']#['http/1.x']"
192.168.166.55 51626 11 0 10 5 893 4 0 0 0 1 1 185.26.141.74 443 13 0 13 5 9650 6 0 0 0 1 1 105238.8291015625 167869.51904296875 8192 linear312-it-hls1-prd.selector.skycdn.it selector.ott.skycdn.it 33 0 linear312-it-hls1-prd.selector.skycdn.it - 192.168.166.55#51626#185.26.141.74#443 selector.skycdn.it "['spdy (*)', 'http/1.x']#None"
192.168.166.55 51623 9 0 8 4 3209 3 0 0 0 1 1 176.255.176.100 443 9 0 9 4 3416 3 0 0 0 1 1 104753.76318359375 177845.6181640625 1 - - 0 0 ott-sgwl.skyanywhere.com - 192.168.166.55#51623#176.255.176.100#443 sgwl.skyanywhere.com HTTP
192.168.166.55 51636 8 0 7 3 1482 3 0 0 0 1 1 23.52.38.143 443 9 1 8 2 1500 3 1 0 0 2 1 177671.744140625 177897.99780273438 8192 p.sky.com - 1 2 p.sky.com - 192.168.166.55#51636#23.52.38.143#443 p.sky.com "['spdy (*)']#['http/1.x']"
192.168.166.55 51634 18 0 17 6 3899 10 0 0 0 1 1 52.223.29.147 443 24 0 24 11 6166 10 1 0 0 1 2 166530.494140625 178372.5390625 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 192.168.166.55#51634#52.223.29.147#443 italy.scorecardresearch.com "['http/1.x', 'http/2']#['http/2']"
