c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.166.55 51580 23.40.157.96 443 18513.037109375 322.056 13 0 12 7 1954 5 0 0 0 1 0 13 0 13 2 14193 10 0 0 0 1 0 23.40.157.96@443_192.168.166.55@51580 18835.093109375 "1970-01-01 00:00:18.513037109" "1970-01-01 00:00:18.835093109" 1.91KB 13.86KB "0.05 kbits" "0.35 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51576 23.40.157.96 443 18511.68798828125 339.706 13 0 12 7 1954 5 0 0 0 1 0 14 0 14 2 16455 11 0 0 0 1 0 23.40.157.96@443_192.168.166.55@51576 18851.39398828125 "1970-01-01 00:00:18.511687988" "1970-01-01 00:00:18.851393988" 1.91KB 16.07KB "0.05 kbits" "0.39 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51559 23.40.157.96 443 18510.875 285.717 13 0 13 8 2310 5 0 0 0 0 0 16 0 16 0 21639 16 1 820 0 0 0 23.40.157.96@443_192.168.166.55@51559 18796.592 "1970-01-01 00:00:18.510875000" "1970-01-01 00:00:18.796592000" 2.26KB 21.13KB "0.06 kbits" "0.61 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51543 23.214.204.198 443 13473.76416015625 125.99 8 0 7 4 858 3 0 0 0 1 0 8 0 8 1 6920 6 0 0 0 1 0 23.214.204.198@443_192.168.166.55@51543 13599.75416015625 "1970-01-01 00:00:13.473764160" "1970-01-01 00:00:13.599754160" 858.00B 6.76KB "0.05 kbits" "0.44 kbits" init.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51573 63.140.62.17 443 20858.195068359375 140.953 2 0 2 1 912 1 0 0 0 0 0 1 0 1 0 219 1 0 0 0 0 0 63.140.62.17@443_192.168.166.55@51573 20999.148068359376 "1970-01-01 00:00:20.858195068" "1970-01-01 00:00:20.999148068" 912.00B 219.00B "0.05 kbits" "0.01 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51582 23.214.205.236 443 18607.427978515625 176.474 4 0 3 1 568 2 0 0 0 1 0 4 0 4 2 152 1 0 0 0 1 0 23.214.205.236@443_192.168.166.55@51582 18783.901978515623 "1970-01-01 00:00:18.607427979" "1970-01-01 00:00:18.783901979" 568.00B 152.00B "0.03 kbits" "0.01 kbits" skyq.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51556 23.52.38.143 443 14244.375 783.881 8 0 7 3 2868 4 0 0 0 1 0 9 0 9 3 3843 5 0 0 0 1 0 23.52.38.143@443_192.168.166.55@51556 15028.256 "1970-01-01 00:00:14.244375000" "1970-01-01 00:00:15.028256000" 2.80KB 3.75KB "0.03 kbits" "0.04 kbits" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51582 23.214.205.236 443 35044.318115234375 48.359 2 1 2 0 0 0 0 0 0 0 1 2 0 2 0 31 1 0 0 0 0 1 23.214.205.236@443_192.168.166.55@51582 35092.67711523437 "1970-01-01 00:00:35.044318115" "1970-01-01 00:00:35.092677115" 0B 31.00B "0.00 kbits" "0.01 kbits" skyq.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51573 63.140.62.17 443 31303.191162109375 0.043 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 63.140.62.17@443_192.168.166.55@51573 31303.234162109376 "1970-01-01 00:00:31.303191162" "1970-01-01 00:00:31.303234162" 0B 0B "0.00 kbits" "0.00 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51585 23.52.38.143 443 35963.18310546875 210.376 9 0 8 3 1329 4 0 0 0 1 1 10 1 9 2 5436 5 0 0 0 1 1 23.52.38.143@443_192.168.166.55@51585 36173.55910546875 "1970-01-01 00:00:35.963183105" "1970-01-01 00:00:36.173559105" 1.30KB 5.31KB "0.05 kbits" "0.21 kbits" p.sky.com "SPDY (*)_HTTP/1.x"
