c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.166.55 53776 18166.756103515625 0.0 34 1 19 192.168.166.113 53 18228.958984375 0.0 124 1 19 - - 192.168.166.113@53_192.168.166.55@53776 18166.756103515625 18228.958984375 "1970-01-01 00:00:18.166756104" "1970-01-01 00:00:18.166756104" "1970-01-01 00:00:18.228958984" "1970-01-01 00:00:18.228958984"  DNS 34.00B 124.00B
192.168.166.55 53970 18505.97412109375 0.0 41 1 19 192.168.166.113 53 18601.697021484375 0.0 139 1 19 - - 192.168.166.113@53_192.168.166.55@53970 18505.97412109375 18601.697021484375 "1970-01-01 00:00:18.505974121" "1970-01-01 00:00:18.505974121" "1970-01-01 00:00:18.601697021" "1970-01-01 00:00:18.601697021"  DNS 41.00B 139.00B
192.168.166.55 57191 19246.93798828125 0.0 42 1 19 192.168.166.113 53 19277.736083984375 0.0 106 1 19 - - 192.168.166.113@53_192.168.166.55@57191 19246.93798828125 19277.736083984375 "1970-01-01 00:00:19.246937988" "1970-01-01 00:00:19.246937988" "1970-01-01 00:00:19.277736084" "1970-01-01 00:00:19.277736084"  DNS 42.00B 106.00B
fe80::26c4:9835:1cab:c697 56355 21440.671142578125 0.420023 44 2 19 ff02::1:3 5355 0.0 0.0 0 0 0 - - ff02::1:3@5355_fe80::26c4:9835:1cab:c697@56355 21441.091064453125 0.0 "1970-01-01 00:00:21.440671143" "1970-01-01 00:00:21.441091064" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.166.55 56355 21440.739013671875 0.420085 44 2 19 224.0.0.252 5355 0.0 0.0 0 0 0 - - 224.0.0.252@5355_192.168.166.55@56355 21441.1591796875 0.0 "1970-01-01 00:00:21.440739014" "1970-01-01 00:00:21.441159180" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.166.55 50982 16981.251953125 15.005466 780 6 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.166.55@50982 16996.25732421875 0.0 "1970-01-01 00:00:16.981251952" "1970-01-01 00:00:16.996257324" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 780.00B 0B
192.168.166.55 60720 35913.9130859375 0.0 27 1 19 192.168.166.113 53 35962.494140625 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@60720 35913.9130859375 35962.494140625 "1970-01-01 00:00:35.913913086" "1970-01-01 00:00:35.913913086" "1970-01-01 00:00:35.962494141" "1970-01-01 00:00:35.962494141"  DNS 27.00B 112.00B
192.168.166.55 62172 35914.6181640625 0.386354 77 2 19 192.168.166.113 53 35957.81982421875 0.366268 303 2 19 - - 192.168.166.113@53_192.168.166.55@62172 35915.004638671875 35958.18603515625 "1970-01-01 00:00:35.914618164" "1970-01-01 00:00:35.915004639" "1970-01-01 00:00:35.957819824" "1970-01-01 00:00:35.958186035"  DNS 77.00B 303.00B
192.168.166.55 61229 36116.635009765625 0.0 37 1 19 192.168.166.113 53 36149.503173828125 0.0 110 1 19 - - 192.168.166.113@53_192.168.166.55@61229 36116.635009765625 36149.503173828125 "1970-01-01 00:00:36.116635010" "1970-01-01 00:00:36.116635010" "1970-01-01 00:00:36.149503174" "1970-01-01 00:00:36.149503174"  DNS 37.00B 110.00B
192.168.166.55 63133 36153.30615234375 0.0 74 1 19 192.168.166.113 53 36179.7841796875 0.0 153 1 19 - - 192.168.166.113@53_192.168.166.55@63133 36153.30615234375 36179.7841796875 "1970-01-01 00:00:36.153306152" "1970-01-01 00:00:36.153306152" "1970-01-01 00:00:36.179784180" "1970-01-01 00:00:36.179784180"  DNS 74.00B 153.00B
192.168.166.55 63111 36750.68701171875 0.0 58 1 19 192.168.166.113 53 36808.61376953125 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@63111 36750.68701171875 36808.61376953125 "1970-01-01 00:00:36.750687012" "1970-01-01 00:00:36.750687012" "1970-01-01 00:00:36.808613770" "1970-01-01 00:00:36.808613770"  DNS 58.00B 74.00B
192.168.166.55 60824 38053.93115234375 0.0 61 1 19 192.168.166.113 53 38094.552978515625 0.0 198 1 19 - - 192.168.166.113@53_192.168.166.55@60824 38053.93115234375 38094.552978515625 "1970-01-01 00:00:38.053931152" "1970-01-01 00:00:38.053931152" "1970-01-01 00:00:38.094552979" "1970-01-01 00:00:38.094552979"  DNS 61.00B 198.00B
192.168.166.55 50193 39252.573974609375 0.0 45 1 19 192.168.166.113 53 39340.906982421875 0.0 130 1 19 - - 192.168.166.113@53_192.168.166.55@50193 39252.573974609375 39340.906982421875 "1970-01-01 00:00:39.252573975" "1970-01-01 00:00:39.252573975" "1970-01-01 00:00:39.340906982" "1970-01-01 00:00:39.340906982"  DNS 45.00B 130.00B
fe80::26c4:9835:1cab:c697 51342 58657.12109375 0.424655 44 2 19 ff02::1:3 5355 0.0 0.0 0 0 0 - - ff02::1:3@5355_fe80::26c4:9835:1cab:c697@51342 58657.545654296875 0.0 "1970-01-01 00:00:58.657121094" "1970-01-01 00:00:58.657545654" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.166.55 51342 58657.18212890625 0.424735 44 2 19 224.0.0.252 5355 0.0 0.0 0 0 0 - - 224.0.0.252@5355_192.168.166.55@51342 58657.60693359375 0.0 "1970-01-01 00:00:58.657182129" "1970-01-01 00:00:58.657606934" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.166.55 138 287657.56982421875 0.0 201 1 0 192.168.166.255 138 0.0 0.0 0 0 0 - - 192.168.166.255@138_192.168.166.55@138 287657.56982421875 0.0 "1970-01-01 00:04:47.657569824" "1970-01-01 00:04:47.657569824" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 201.00B 0B
192.168.166.55 54877 104581.01318359375 0.0 27 1 19 192.168.166.113 53 104617.373046875 0.0 112 1 19 - - 192.168.166.113@53_192.168.166.55@54877 104581.01318359375 104617.373046875 "1970-01-01 00:01:44.581013184" "1970-01-01 00:01:44.581013184" "1970-01-01 00:01:44.617373047" "1970-01-01 00:01:44.617373047"  DNS 27.00B 112.00B
192.168.166.55 55122 105198.05395507812 0.0 58 1 19 192.168.166.113 53 105236.06713867188 0.0 74 1 19 - - 192.168.166.113@53_192.168.166.55@55122 105198.05395507812 105236.06713867188 "1970-01-01 00:01:45.198053955" "1970-01-01 00:01:45.198053955" "1970-01-01 00:01:45.236067139" "1970-01-01 00:01:45.236067139"  DNS 58.00B 74.00B
192.168.166.55 50738 105445.14111328125 0.0 61 1 19 192.168.166.113 53 105486.955078125 0.0 198 1 19 - - 192.168.166.113@53_192.168.166.55@50738 105445.14111328125 105486.955078125 "1970-01-01 00:01:45.445141113" "1970-01-01 00:01:45.445141113" "1970-01-01 00:01:45.486955078" "1970-01-01 00:01:45.486955078"  DNS 61.00B 198.00B
192.168.166.55 50740 106620.18408203125 3.026022 700 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.166.55@50740 106623.21020507812 0.0 "1970-01-01 00:01:46.620184082" "1970-01-01 00:01:46.623210205" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 700.00B 0B
192.168.166.55 61133 136674.208984375 0.0 43 1 19 192.168.166.113 53 136701.10180664062 0.0 149 1 19 - - 192.168.166.113@53_192.168.166.55@61133 136674.208984375 136701.10180664062 "1970-01-01 00:02:16.674208984" "1970-01-01 00:02:16.674208984" "1970-01-01 00:02:16.701101807" "1970-01-01 00:02:16.701101807"  DNS 43.00B 149.00B
192.168.166.55 137 12438.699951171875 168.547654 600 12 0 192.168.166.255 137 0.0 0.0 0 0 0 - - 192.168.166.255@137_192.168.166.55@137 12607.24755859375 0.0 "1970-01-01 00:00:12.438699951" "1970-01-01 00:00:12.607247559" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 600.00B 0B
192.168.166.55 5353 12439.06396484375 168.038515 224 8 19 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.166.55@5353 12607.1025390625 0.0 "1970-01-01 00:00:12.439063964" "1970-01-01 00:00:12.607102539" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 224.00B 0B
