action now from
origin 1722493072693.3113 0.00341796875
net-starts 1722493072693.67 0.362060546875
app-starts 1722493072693.9048 0.596923828125
eurosport1-starts 1722493102678.604 29985.296142578125
eurosport1-stops 1722493292678.642 219985.3342285156
eurosport2-starts 1722493312630.8855 239937.57763671875
eurosport2-stops 1722493502630.9268 429937.6188964844
app-stops 1722493515266.85 442573.5422363281
net-stops 1722493545344.3145 472651.0065917969
