action unix_ts from_origin_ts from_origin_s
origin 1720956048415.8425 0.0 0.0
sniffer-on 1720956048420.8389 4.996337890625 0.004996337890625
skygo-on 1720956048425.8372 9.99462890625 0.00999462890625
skysportuno-on 1720956091141.7507 42725.908203125 42.725908203125
skysportuno-off 1720956271141.8381 222725.99560546875 222.72599560546874
skysportcalcio-on 1720956284341.6733 235925.83081054688 235.92583081054687
skysportcalcio-off 1720956464341.1948 415925.3522949219 415.9253522949219
skysporttennis-on 1720956483534.2097 435118.3671875 435.1183671875
skysporttennis-off 1720956663533.593 615117.7504882812 615.1177504882812
skygo-off 1720956672082.7222 623666.8796386719 623.6668796386718
sniffer-off 1720956672154.7344 623738.8918457031 623.7388918457032
