c_ip c_pt s_ip s_pt ts size c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts id te token proto
192.168.84.55 64679 23.40.157.96 443 3735.079833984375 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 192.168.84.55#64679#23.40.157.96#443 3735.079833984375 ott.sky.com None#None
192.168.84.55 64679 23.40.157.96 443 3838.947998046875 99.042 3 0 3 2 517 1 0 0 0 0 0 5 0 5 1 4096 3 0 0 0 1 0 192.168.84.55#64679#23.40.157.96#443 3937.989998046875 ott.sky.com None#None
192.168.84.55 64679 23.40.157.96 443 3948.94091796875 43.954 4 0 4 3 1390 1 0 0 0 0 0 5 0 5 0 6898 5 0 0 0 0 0 192.168.84.55#64679#23.40.157.96#443 3992.89491796875 ott.sky.com None#None
192.168.84.55 64679 23.40.157.96 443 4141.993896484375 98.876 4 0 4 1 167 2 0 0 0 0 1 3 0 3 0 2938 3 0 0 0 0 0 192.168.84.55#64679#23.40.157.96#443 4240.869896484375 ott.sky.com None#None
192.168.84.55 64679 23.40.157.96 443 4242.05859375 0.048 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 31 1 0 0 0 0 0 192.168.84.55#64679#23.40.157.96#443 4242.10659375 ott.sky.com None#None
192.168.84.55 64691 23.40.157.96 443 7467.880615234375 64.565 4 0 3 1 1449 2 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64691#23.40.157.96#443 7532.445615234375 ott.sky.com None#None
192.168.84.55 64691 23.40.157.96 443 7575.755859375 83.056 5 1 5 1 218 2 0 0 0 0 1 7 0 7 3 1856 4 0 0 0 0 0 192.168.84.55#64691#23.40.157.96#443 7658.811859375 ott.sky.com None#None
192.168.84.55 64697 104.120.111.190 443 8968.992919921875 95.131 3 0 2 1 517 1 0 0 0 1 0 3 0 3 1 1400 1 0 0 0 1 0 192.168.84.55#64697#104.120.111.190#443 9064.123919921874 ott.sky.com None#None
192.168.84.55 64697 104.120.111.190 443 9071.091796875 56.952 6 1 6 2 353 2 0 0 0 0 1 7 0 7 1 3520 6 0 0 0 0 0 192.168.84.55#64697#104.120.111.190#443 9128.043796875 ott.sky.com None#None
192.168.84.55 64700 23.40.140.194 443 9441.5087890625 45.766 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64700#23.40.140.194#443 9487.2747890625  
192.168.84.55 64699 23.52.38.143 443 9431.43994140625 55.436 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64699#23.52.38.143#443 9486.87594140625 p.sky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64700 23.40.140.194 443 9545.19677734375 60.33 4 0 4 2 666 2 0 0 0 0 0 6 0 6 1 6057 5 0 0 0 0 0 192.168.84.55#64700#23.40.140.194#443 9605.52677734375  
192.168.84.55 64699 23.52.38.143 443 9545.228759765625 72.985 4 0 4 2 1137 2 0 0 0 0 0 6 0 6 1 4595 5 0 0 0 0 0 192.168.84.55#64699#23.52.38.143#443 9618.213759765626 p.sky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64699 23.52.38.143 443 9664.219970703125 44.022 4 0 4 3 0 0 0 0 0 0 1 5 0 5 2 1296 2 0 0 0 0 1 192.168.84.55#64699#23.52.38.143#443 9708.241970703126 p.sky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64704 23.194.176.111 443 9710.9169921875 63.989 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64704#23.194.176.111#443 9774.9059921875 falke.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64706 23.194.176.111 443 9711.031982421875 64.354 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64706#23.194.176.111#443 9775.385982421874 falke.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64703 23.194.176.111 443 9710.853759765625 65.331 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64703#23.194.176.111#443 9776.184759765625 falke.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64702 23.194.176.111 443 9710.79296875 53.532 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64702#23.194.176.111#443 9764.32496875 falke.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64705 23.194.176.111 443 9710.975830078125 64.807 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64705#23.194.176.111#443 9775.782830078126 falke.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
192.168.84.55 64701 23.194.176.111 443 9710.718994140625 53.178 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 192.168.84.55#64701#23.194.176.111#443 9763.896994140625 falke.epgsky.com "['http/1.x', 'http/2']#['http/1.x']"
