c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 54958 74.125.143.84 443 592.5732421875 481.191 8 0 7 4 1867 3 0 0 0 1 0 7 0 7 3 6357 3 0 0 0 1 0 74.125.143.84@443_192.168.84.55@54958 1073.7642421875 "1970-01-01 00:00:00.592573242" "1970-01-01 00:00:01.073764242" 1.82KB 6.21KB "0.03 kbits" "0.11 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 52390 142.250.185.100 443 602.9462890625 329.605 7 0 6 3 1862 3 0 0 0 1 0 6 0 6 3 5350 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@52390 932.5512890625 "1970-01-01 00:00:00.602946289" "1970-01-01 00:00:00.932551289" 1.82KB 5.22KB "0.05 kbits" "0.13 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 33390 172.217.16.195 443 528.05419921875 404.499 12 0 11 4 2317 7 0 0 0 1 0 15 0 15 7 7294 7 0 0 0 1 0 172.217.16.195@443_192.168.84.55@33390 932.55319921875 "1970-01-01 00:00:00.528054199" "1970-01-01 00:00:00.932553199" 2.26KB 7.12KB "0.05 kbits" "0.14 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 54186 142.250.186.110 443 2240.71826171875 289.76 9 1 7 3 1853 3 0 0 0 1 1 7 0 7 3 8249 3 0 0 0 1 0 142.250.186.110@443_192.168.84.55@54186 2530.47826171875 "1970-01-01 00:00:02.240718262" "1970-01-01 00:00:02.530478262" 1.81KB 8.06KB "0.05 kbits" "0.23 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 33390 172.217.16.195 443 2508.1142578125 125.568 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@33390 2633.6822578125 "1970-01-01 00:00:02.508114258" "1970-01-01 00:00:02.633682258" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 52390 142.250.185.100 443 2507.516357421875 126.173 2 1 1 0 0 0 0 0 0 0 1 2 0 2 1 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@52390 2633.689357421875 "1970-01-01 00:00:02.507516356" "1970-01-01 00:00:02.633689357" 0B 958.00B "0.00 kbits" "0.06 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 54958 74.125.143.84 443 2507.445068359375 126.251 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@54958 2633.696068359375 "1970-01-01 00:00:02.507445068" "1970-01-01 00:00:02.633696068" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 60698 108.139.243.60 443 11107.855224609375 995.858 44 0 43 34 4238 9 0 0 0 1 0 82 0 82 7 194942 74 0 0 0 1 0 108.139.243.60@443_192.168.84.55@60698 12103.713224609375 "1970-01-01 00:00:11.107855225" "1970-01-01 00:00:12.103713225" 4.14KB 190.37KB "0.03 kbits" "1.57 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 38844 162.247.243.29 443 12707.001220703125 718.504 54 0 53 6 58612 46 0 0 0 1 1 42 0 42 34 5187 6 0 0 0 1 1 162.247.243.29@443_192.168.84.55@38844 13425.505220703126 "1970-01-01 00:00:12.707001221" "1970-01-01 00:00:13.425505221" 57.24KB 5.07KB "0.65 kbits" "0.06 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 58236 108.157.188.55 443 12029.029052734375 298.025 14 0 13 4 4194 9 0 0 0 1 0 16 0 16 9 7005 6 0 0 0 1 0 108.157.188.55@443_192.168.84.55@58236 12327.054052734375 "1970-01-01 00:00:12.029029053" "1970-01-01 00:00:12.327054053" 4.10KB 6.84KB "0.11 kbits" "0.19 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 41152 108.139.243.76 443 13105.093017578125 988.928 23 0 22 10 4983 12 0 0 0 1 0 39 0 39 11 41952 27 0 0 0 1 0 108.139.243.76@443_192.168.84.55@41152 14094.021017578125 "1970-01-01 00:00:13.105093018" "1970-01-01 00:00:14.094021018" 4.87KB 40.97KB "0.04 kbits" "0.34 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 36898 151.101.242.49 443 13117.622314453125 969.56 23 0 22 5 4246 17 0 0 0 1 0 29 0 29 16 7350 12 0 0 0 1 0 151.101.242.49@443_192.168.84.55@36898 14087.182314453124 "1970-01-01 00:00:13.117622314" "1970-01-01 00:00:14.087182314" 4.15KB 7.18KB "0.04 kbits" "0.06 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 34028 18.198.217.12 443 14023.122314453125 934.199 17 0 16 6 4356 10 0 0 0 1 0 20 0 20 10 7849 9 0 0 0 1 0 18.198.217.12@443_192.168.84.55@34028 14957.321314453126 "1970-01-01 00:00:14.023122314" "1970-01-01 00:00:14.957321314" 4.25KB 7.67KB "0.04 kbits" "0.07 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 44044 3.75.98.239 443 13771.918212890625 441.875 15 0 14 5 4316 9 0 0 0 1 0 14 0 14 8 5088 5 0 0 0 1 0 3.75.98.239@443_192.168.84.55@44044 14213.793212890625 "1970-01-01 00:00:13.771918213" "1970-01-01 00:00:14.213793213" 4.21KB 4.97KB "0.08 kbits" "0.09 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 36898 151.101.242.49 443 14156.87841796875 997.427 5 0 5 0 848 5 0 0 0 0 0 10 0 10 6 1120 4 0 0 0 0 0 151.101.242.49@443_192.168.84.55@36898 15154.30541796875 "1970-01-01 00:00:14.156878418" "1970-01-01 00:00:15.154305418" 848.00B 1.09KB "0.01 kbits" "0.01 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
