c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 54186 9 1 7 3 1853 3 0 0 0 1 1 142.250.186.110 443 7 0 7 3 8249 3 0 0 0 1 0 2240.71826171875 2530.478271484375 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@54186 "1970-01-01 00:00:02.240718262" "1970-01-01 00:00:02.530478271" play.google.com HTTP/1.x-HTTP/2_null 1.81KB 8.06KB "0.05 kbits" "0.23 kbits"
192.168.84.55 33390 14 0 13 5 2317 7 0 0 0 1 1 172.217.16.195 443 17 0 17 8 7294 7 0 0 0 1 1 528.05419921875 2633.682373046875 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@33390 "1970-01-01 00:00:00.528054199" "1970-01-01 00:00:02.633682373" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.26KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 52390 9 1 7 3 1862 3 0 0 0 1 1 142.250.185.100 443 8 0 8 4 6308 3 0 0 0 1 0 602.9462890625 2633.689208984375 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@52390 "1970-01-01 00:00:00.602946289" "1970-01-01 00:00:02.633689209" www.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.16KB "0.01 kbits" "0.02 kbits"
192.168.84.55 54958 10 0 9 5 1867 3 0 0 0 1 1 74.125.143.84 443 9 0 9 4 6357 3 0 0 0 1 1 592.5732421875 2633.6962890625 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@54958 "1970-01-01 00:00:00.592573242" "1970-01-01 00:00:02.633696289" accounts.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.21KB "0.01 kbits" "0.02 kbits"
192.168.84.55 38844 54 0 53 6 58612 46 0 0 0 1 1 162.247.243.29 443 42 0 42 34 5187 6 0 0 0 1 1 12707.001220703125 13425.50537109375 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@38844 "1970-01-01 00:00:12.707001221" "1970-01-01 00:00:13.425505371" data.net HTTP/1.x-HTTP/2_null 57.24KB 5.07KB "0.65 kbits" "0.06 kbits"
192.168.84.55 34660 11 1 9 2 2712 6 0 0 0 1 1 18.193.36.184 443 11 0 11 7 390 3 0 0 0 1 0 13791.892333984375 30438.65625 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@34660 "1970-01-01 00:00:13.791892334" "1970-01-01 00:00:30.438656250" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.65KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 34656 15 1 13 5 4588 7 0 0 0 1 1 18.193.36.184 443 16 0 16 8 5850 7 0 0 0 1 0 12729.896240234375 30438.791015625 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@34656 "1970-01-01 00:00:12.729896240" "1970-01-01 00:00:30.438791016" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.48KB 5.71KB "0.00 kbits" "0.00 kbits"
192.168.84.55 34664 14 1 12 3 4547 7 1 0 0 1 2 18.193.36.184 443 12 0 12 8 390 3 0 0 0 1 0 15078.663330078125 30438.87841796875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@34664 "1970-01-01 00:00:15.078663330" "1970-01-01 00:00:30.438878418" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.44KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 34728 11 0 10 4 4063 5 0 0 0 1 1 162.247.243.29 443 11 0 11 6 897 3 0 0 0 1 1 30248.522216796875 30678.522216796875 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@34728 "1970-01-01 00:00:30.248522217" "1970-01-01 00:00:30.678522217" data.net HTTP/1.x-HTTP/2_null 3.97KB 897.00B "0.08 kbits" "0.02 kbits"
192.168.84.55 40488 10 0 9 5 1798 3 0 0 0 1 1 142.250.185.100 443 9 0 9 4 5351 2 1 0 0 1 2 20388.17138671875 30782.693359375 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@40488 "1970-01-01 00:00:20.388171387" "1970-01-01 00:00:30.782693359" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 5.23KB "0.00 kbits" "0.00 kbits"
