action unix_ts from_origin_ts
origin 1722155665200.4717 0.001953125
net-starts 1722155665201.1475 0.677734375
app-starts 1722155665201.5483 1.07861328125
eurosport1-starts 1722155695191.7153 29991.24560546875
eurosport1-stops 1722155895191.7673 229991.29760742188
eurosport2-starts 1722155915131.054 249930.58422851562
eurosport2-stops 1722156115131.0935 449930.6237792969
app-stops 1722156127765.0305 462564.5607910156
net-stops 1722156157844.0164 492643.5466308594
