c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 40572 172.217.16.195 443 490.804931640625 304.48 12 0 11 4 2381 7 0 0 0 1 0 14 0 14 6 7293 7 0 0 0 1 0 172.217.16.195@443_192.168.84.55@40572 795.284931640625 "1970-01-01 00:00:00.490804932" "1970-01-01 00:00:00.795284932" 2.33KB 7.12KB "0.06 kbits" "0.19 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 33420 142.250.185.100 443 605.18115234375 282.872 8 0 7 4 1830 3 0 0 0 1 0 7 0 7 3 5350 3 0 0 0 1 0 142.250.185.100@443_192.168.84.55@33420 888.0531523437501 "1970-01-01 00:00:00.605181152" "1970-01-01 00:00:00.888053152" 1.79KB 5.22KB "0.05 kbits" "0.15 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 33420 142.250.185.100 443 2519.445068359375 89.171 2 1 1 0 0 0 0 0 0 0 1 2 0 2 1 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@33420 2608.616068359375 "1970-01-01 00:00:02.519445068" "1970-01-01 00:00:02.608616068" 0B 958.00B "0.00 kbits" "0.09 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 40572 172.217.16.195 443 2519.1669921875 89.472 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@40572 2608.6389921875 "1970-01-01 00:00:02.519166992" "1970-01-01 00:00:02.608638992" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 56302 142.250.186.110 443 2150.137939453125 458.513 10 0 9 5 1789 3 0 0 0 1 1 10 0 10 4 8248 4 0 0 0 1 1 142.250.186.110@443_192.168.84.55@56302 2608.650939453125 "1970-01-01 00:00:02.150137939" "1970-01-01 00:00:02.608650939" 1.75KB 8.05KB "0.03 kbits" "0.14 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 35974 108.139.243.60 443 11105.153076171875 998.705 62 0 61 36 9050 25 0 0 0 1 0 100 0 100 21 197698 78 0 0 0 1 0 108.139.243.60@443_192.168.84.55@35974 12103.858076171875 "1970-01-01 00:00:11.105153076" "1970-01-01 00:00:12.103858076" 8.84KB 193.06KB "0.07 kbits" "1.58 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 40404 108.157.188.55 443 11875.927734375 334.394 16 0 15 6 4226 9 0 0 0 1 0 18 0 18 9 6999 8 0 0 0 1 0 108.157.188.55@443_192.168.84.55@40404 12210.321734375 "1970-01-01 00:00:11.875927734" "1970-01-01 00:00:12.210321734" 4.13KB 6.83KB "0.10 kbits" "0.17 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 43592 108.139.243.86 443 13086.5009765625 997.953 52 0 51 22 9106 29 0 0 0 1 0 93 0 93 26 87170 66 0 0 0 1 0 108.139.243.86@443_192.168.84.55@43592 14084.4539765625 "1970-01-01 00:00:13.086500977" "1970-01-01 00:00:14.084453977" 8.89KB 85.13KB "0.07 kbits" "0.70 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 49374 151.101.242.49 443 13093.971923828125 816.21 23 0 22 6 4214 16 0 0 0 1 0 28 0 28 15 7340 12 0 0 0 1 0 151.101.242.49@443_192.168.84.55@49374 13910.181923828124 "1970-01-01 00:00:13.093971924" "1970-01-01 00:00:13.910181924" 4.12KB 7.17KB "0.04 kbits" "0.07 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 32950 18.157.247.72 443 13635.76513671875 306.149 14 0 13 4 4348 9 0 0 0 1 0 14 0 14 8 5087 5 0 0 0 1 0 18.157.247.72@443_192.168.84.55@32950 13941.91413671875 "1970-01-01 00:00:13.635765137" "1970-01-01 00:00:13.941914137" 4.25KB 4.97KB "0.11 kbits" "0.13 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
