c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 33420 10 1 1830 3 0 0 0 1 1 142.250.185.100 443 9 0 6308 4 0 0 0 1 0 605.18115234375 2608.61572265625 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@33420 "1970-01-01 00:00:00.605181152" "1970-01-01 00:00:02.608615723" www.google.com HTTP/1.x-HTTP/2_null 1.79KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 40572 14 0 2381 7 0 0 0 1 1 172.217.16.195 443 16 0 7293 7 0 0 0 1 1 490.804931640625 2608.63916015625 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@40572 "1970-01-01 00:00:00.490804932" "1970-01-01 00:00:02.608639160" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.33KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 56302 10 0 1789 3 0 0 0 1 1 142.250.186.110 443 10 0 8248 4 0 0 0 1 1 2150.137939453125 2608.651123046875 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@56302 "1970-01-01 00:00:02.150137939" "1970-01-01 00:00:02.608651123" play.google.com HTTP/1.x-HTTP/2_null 1.75KB 8.05KB "0.03 kbits" "0.14 kbits"
192.168.84.55 45182 9 0 1830 3 0 0 0 1 1 142.250.185.100 443 9 0 5350 3 1 1388 0 1 1 20300.277099609375 30464.52978515625 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@45182 "1970-01-01 00:00:20.300277100" "1970-01-01 00:00:30.464529785" www.google.com HTTP/1.x-HTTP/2_null 1.79KB 5.22KB "0.00 kbits" "0.00 kbits"
192.168.84.55 44032 14 1 2750 8 0 0 0 1 1 3.126.67.130 443 14 0 421 4 0 0 0 1 0 13818.4677734375 30537.5029296875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@44032 "1970-01-01 00:00:13.818467773" "1970-01-01 00:00:30.537502930" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.69KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 44026 15 1 4524 7 0 0 0 1 1 3.126.67.130 443 16 0 5850 7 0 0 0 1 0 12713.465087890625 30537.51708984375 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@44026 "1970-01-01 00:00:12.713465088" "1970-01-01 00:00:30.537517090" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.71KB "0.00 kbits" "0.00 kbits"
192.168.84.55 42182 13 0 4547 7 0 0 0 1 1 3.126.67.130 443 11 0 357 2 0 0 0 1 1 14841.7109375 30595.2529296875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@42182 "1970-01-01 00:00:14.841710938" "1970-01-01 00:00:30.595252930" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.44KB 357.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 39432 11 0 3723 5 0 0 0 1 1 162.247.243.29 443 11 0 4695 3 0 0 0 1 1 30451.727783203125 30813.242919921875 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@39432 "1970-01-01 00:00:30.451727783" "1970-01-01 00:00:30.813242920" data.net HTTP/1.x-HTTP/2_null 3.64KB 4.58KB "0.08 kbits" "0.10 kbits"
192.168.84.55 39424 15 1 6346 8 0 0 0 1 1 162.247.243.29 443 12 0 1272 4 0 0 0 1 0 30440.653076171875 32168.57177734375 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@39424 "1970-01-01 00:00:30.440653076" "1970-01-01 00:00:32.168571777" data.net HTTP/1.x-HTTP/2_null 6.20KB 1.24KB "0.03 kbits" "0.01 kbits"
192.168.84.55 36482 11 0 1866 3 0 0 0 1 1 91.81.129.236 443 11 0 4024 5 0 0 0 1 1 34310.43115234375 40128.395751953125 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@36482 "1970-01-01 00:00:34.310431152" "1970-01-01 00:00:40.128395752" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 1.82KB 3.93KB "0.00 kbits" "0.01 kbits"
