c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 40664 172.217.16.195 443 459.171142578125 524.44 12 0 2349 7 0 0 0 1 0 14 0 7294 7 0 0 0 1 0 172.217.16.195@443_192.168.84.55@40664 983.611142578125 "1970-01-01 00:00:00.459171143" "1970-01-01 00:00:00.983611143" 2.29KB 7.12KB "0.04 kbits" "0.11 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 45522 74.125.143.84 443 580.09716796875 446.201 8 0 1867 3 0 0 0 1 0 7 0 6356 3 0 0 0 1 0 74.125.143.84@443_192.168.84.55@45522 1026.29816796875 "1970-01-01 00:00:00.580097168" "1970-01-01 00:00:01.026298168" 1.82KB 6.21KB "0.03 kbits" "0.11 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 47450 142.250.185.100 443 726.49609375 299.444 8 0 1862 4 1 400 0 1 0 7 0 5349 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@47450 1025.94009375 "1970-01-01 00:00:00.726496094" "1970-01-01 00:00:01.025940094" 1.82KB 5.22KB "0.05 kbits" "0.14 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 57550 142.250.186.110 443 2394.037109375 156.963 6 1 1725 2 0 0 0 1 1 6 0 4164 2 0 0 0 1 0 142.250.186.110@443_192.168.84.55@57550 2551.000109375 "1970-01-01 00:00:02.394037109" "1970-01-01 00:00:02.551000109" 1.68KB 4.07KB "0.09 kbits" "0.21 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 40664 172.217.16.195 443 2496.253173828125 58.679 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@40664 2554.932173828125 "1970-01-01 00:00:02.496253174" "1970-01-01 00:00:02.554932174" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 47450 142.250.185.100 443 2496.883056640625 62.078 2 1 0 0 0 0 0 0 1 2 0 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@47450 2558.961056640625 "1970-01-01 00:00:02.496883057" "1970-01-01 00:00:02.558961057" 0B 958.00B "0.00 kbits" "0.12 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 45522 74.125.143.84 443 2496.799072265625 66.048 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@45522 2562.847072265625 "1970-01-01 00:00:02.496799072" "1970-01-01 00:00:02.562847072" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 57562 142.250.186.110 443 2497.037841796875 73.867 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 142.250.186.110@443_192.168.84.55@57562 2570.904841796875 "1970-01-01 00:00:02.497037842" "1970-01-01 00:00:02.570904842" 0B 0B "0.00 kbits" "0.00 kbits" play.google.com UNKNOWN
192.168.84.55 51636 108.139.243.100 443 11038.361083984375 970.218 50 0 4252 8 0 0 0 1 0 84 0 194535 76 0 0 0 1 0 108.139.243.100@443_192.168.84.55@51636 12008.579083984376 "1970-01-01 00:00:11.038361084" "1970-01-01 00:00:12.008579084" 4.15KB 189.98KB "0.04 kbits" "1.60 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 47000 108.157.188.90 443 12029.093994140625 389.412 14 0 4258 9 0 0 0 1 0 16 0 7005 6 0 0 0 1 0 108.157.188.90@443_192.168.84.55@47000 12418.505994140625 "1970-01-01 00:00:12.029093994" "1970-01-01 00:00:12.418505994" 4.16KB 6.84KB "0.09 kbits" "0.14 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 49868 108.139.243.99 443 13112.68505859375 996.69 52 0 8655 29 0 0 0 1 0 98 0 114361 70 0 0 0 1 0 108.139.243.99@443_192.168.84.55@49868 14109.37505859375 "1970-01-01 00:00:13.112685059" "1970-01-01 00:00:14.109375059" 8.45KB 111.68KB "0.07 kbits" "0.92 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 45334 151.101.242.49 443 13115.891845703125 834.458 24 0 4310 16 0 0 0 1 0 29 0 7333 13 0 0 0 1 0 151.101.242.49@443_192.168.84.55@45334 13950.349845703126 "1970-01-01 00:00:13.115891846" "1970-01-01 00:00:13.950349846" 4.21KB 7.16KB "0.04 kbits" "0.07 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
