event unix_ts from_origin_ms from_origin_s
origin 1721013889847.28 0.0 0.0
sniffer-on 1721013889852.2847 5.004638671875 0.005004638671875
skygo-on 1721013889857.277 9.9970703125 0.0099970703125
skysportuno-on 1721013932634.184 42786.904052734375 42.78690405273438
skysportuno-off 1721014112633.4985 222786.21850585938 222.78621850585938
skysportcalcio-on 1721014122844.789 232997.50903320312 232.99750903320313
skysportcalcio-off 1721014302844.34 412997.06005859375 412.9970600585938
skysporttennis-on 1721014312044.2683 422196.98828125 422.19698828125
skysporttennis-off 1721014492043.4443 602196.1643066406 602.1961643066406
skygo-off 1721014501549.9453 611702.6652832031 611.7026652832031
sniffer-off 1721014501612.9583 611765.6782226562 611.7656782226562
